Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.157,
A,2,Sample X2,0.157,
A,3,Sample X3,0.158,
A,4,Sample X4,0.159,
A,5,Sample X5,0.154,
A,6,Sample X6,0.156,
A,7,Sample X7,0.15,
A,8,Sample X8,0.15,
A,9,Sample X9,0.153,
A,10,Sample X10,0.151,
A,11,Sample X11,0.148,
A,12,Sample X12,0.149,
B,1,Sample X13,0.165,
B,2,Sample X14,1.512,
B,3,Sample X15,1.291,
B,4,Sample X16,1.482,
B,5,Sample X17,1.435,
B,6,Sample X18,1.444,
B,7,Sample X19,1.477,
B,8,Sample X20,1.514,
B,9,Sample X21,1.472,
B,10,Sample X22,1.448,
B,11,Sample X23,1.317,
B,12,Sample X24,0.153,
C,1,Sample X25,0.173,
C,2,Sample X26,1.473,
C,3,Sample X27,1.492,
C,4,Sample X28,1.494,
C,5,Sample X29,1.492,
C,6,Sample X30,1.421,
C,7,Sample X31,1.505,
C,8,Sample X32,1.506,
C,9,Sample X33,1.474,
C,10,Sample X34,1.481,
C,11,Sample X35,1.435,
C,12,Sample X36,0.168,
D,1,Sample X37,0.183,
D,2,Sample X38,1.48,
D,3,Sample X39,1.475,
D,4,Sample X40,1.496,
D,5,Sample X41,1.491,
D,6,Sample X42,1.497,
D,7,Sample X43,1.481,
D,8,Sample X44,1.494,
D,9,Sample X45,1.49,
D,10,Sample X46,1.482,
D,11,Sample X47,1.511,
D,12,Sample X48,0.167,
E,1,Sample X49,0.174,
E,2,Sample X50,1.469,
E,3,Sample X51,1.476,
E,4,Sample X52,1.478,
E,5,Sample X53,1.483,
E,6,Sample X54,1.459,
E,7,Sample X55,1.482,
E,8,Sample X56,1.475,
E,9,Sample X57,1.479,
E,10,Sample X58,1.482,
E,11,Sample X59,1.476,
E,12,Sample X60,0.16,
F,1,Sample X61,0.194,
F,2,Sample X62,1.441,
F,3,Sample X63,1.467,
F,4,Sample X64,1.455,
F,5,Sample X65,1.483,
F,6,Sample X66,1.489,
F,7,Sample X67,1.502,
F,8,Sample X68,1.478,
F,9,Sample X69,1.429,
F,10,Sample X70,1.468,
F,11,Sample X71,1.445,
F,12,Sample X72,0.176,
G,1,Sample X73,0.194,
G,2,Sample X74,1.477,
G,3,Sample X75,1.453,
G,4,Sample X76,1.471,
G,5,Sample X77,1.428,
G,6,Sample X78,1.46,
G,7,Sample X79,1.451,
G,8,Sample X80,1.391,
G,9,Sample X81,1.417,
G,10,Sample X82,1.341,
G,11,Sample X83,1.379,
G,12,Sample X84,0.173,
H,1,Sample X85,0.192,
H,2,Sample X86,0.189,
H,3,Sample X87,0.18,
H,4,Sample X88,0.178,
H,5,Sample X89,0.177,
H,6,Sample X90,0.176,
H,7,Sample X91,0.173,
H,8,Sample X92,0.174,
H,9,Sample X93,0.175,
H,10,Sample X94,0.173,
H,11,Sample X95,0.176,
H,12,Sample X96,0.176,
