Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.158,
A,2,Sample X2,0.156,
A,3,Sample X3,0.158,
A,4,Sample X4,0.167,
A,5,Sample X5,0.162,
A,6,Sample X6,0.164,
A,7,Sample X7,0.157,
A,8,Sample X8,0.162,
A,9,Sample X9,0.17,
A,10,Sample X10,0.17,
A,11,Sample X11,0.167,
A,12,Sample X12,0.171,
B,1,Sample X13,0.163,
B,2,Sample X14,1.109,
B,3,Sample X15,1.103,
B,4,Sample X16,1.106,
B,5,Sample X17,1.085,
B,6,Sample X18,1.111,
B,7,Sample X19,1.077,
B,8,Sample X20,1.095,
B,9,Sample X21,1.103,
B,10,Sample X22,1.098,
B,11,Sample X23,1.106,
B,12,Sample X24,0.17,
C,1,Sample X25,0.17,
C,2,Sample X26,1.134,
C,3,Sample X27,1.143,
C,4,Sample X28,1.152,
C,5,Sample X29,1.161,
C,6,Sample X30,1.164,
C,7,Sample X31,1.149,
C,8,Sample X32,1.133,
C,9,Sample X33,1.151,
C,10,Sample X34,1.148,
C,11,Sample X35,1.168,
C,12,Sample X36,0.185,
D,1,Sample X37,0.183,
D,2,Sample X38,1.108,
D,3,Sample X39,1.131,
D,4,Sample X40,1.141,
D,5,Sample X41,1.145,
D,6,Sample X42,1.163,
D,7,Sample X43,1.134,
D,8,Sample X44,1.134,
D,9,Sample X45,1.134,
D,10,Sample X46,1.131,
D,11,Sample X47,1.163,
D,12,Sample X48,0.191,
E,1,Sample X49,0.173,
E,2,Sample X50,1.103,
E,3,Sample X51,1.089,
E,4,Sample X52,1.12,
E,5,Sample X53,1.077,
E,6,Sample X54,1.096,
E,7,Sample X55,1.072,
E,8,Sample X56,1.075,
E,9,Sample X57,1.099,
E,10,Sample X58,1.126,
E,11,Sample X59,1.141,
E,12,Sample X60,0.189,
F,1,Sample X61,0.183,
F,2,Sample X62,1.101,
F,3,Sample X63,1.1,
F,4,Sample X64,1.118,
F,5,Sample X65,1.11,
F,6,Sample X66,1.098,
F,7,Sample X67,1.097,
F,8,Sample X68,1.102,
F,9,Sample X69,1.107,
F,10,Sample X70,1.103,
F,11,Sample X71,1.097,
F,12,Sample X72,0.205,
G,1,Sample X73,0.188,
G,2,Sample X74,1.115,
G,3,Sample X75,1.143,
G,4,Sample X76,1.174,
G,5,Sample X77,1.18,
G,6,Sample X78,1.183,
G,7,Sample X79,1.147,
G,8,Sample X80,1.151,
G,9,Sample X81,1.13,
G,10,Sample X82,1.118,
G,11,Sample X83,1.134,
G,12,Sample X84,0.209,
H,1,Sample X85,0.195,
H,2,Sample X86,0.187,
H,3,Sample X87,0.181,
H,4,Sample X88,0.186,
H,5,Sample X89,0.194,
H,6,Sample X90,0.191,
H,7,Sample X91,0.193,
H,8,Sample X92,0.201,
H,9,Sample X93,0.197,
H,10,Sample X94,0.197,
H,11,Sample X95,0.206,
H,12,Sample X96,0.206,
