date,day,pmutS,volume,treatment,Well Row,Well Col,Content,OD,N,concentration
2017-08-15,1,50,1,double,C,2,Sample X26,1.316,1316e6,0.0625
2017-08-15,1,50,1,double,C,3,Sample X27,1.305,1305e6,0.0625
2017-08-15,1,50,1,double,C,4,Sample X28,1.294,1294e6,0.0625
2017-08-15,1,50,1,double,C,5,Sample X29,1.305,1305e6,0.0625
2017-08-15,1,50,1,double,C,6,Sample X30,1.287,1287e6,0.0625
2017-08-15,1,50,1,double,C,7,Sample X31,1.3,13e8,0.0625
2017-08-15,1,50,1,double,C,8,Sample X32,1.292,1292e6,0.0625
2017-08-15,1,50,1,double,C,9,Sample X33,1.296,1296e6,0.0625
2017-08-15,1,50,1,double,C,10,Sample X34,1.311,1311e6,0.0625
2017-08-15,1,50,1,double,C,11,Sample X35,1.31,131e7,0.0625
2017-08-15,1,50,1,double,D,2,Sample X38,1.323,1323e6,0.0625
2017-08-15,1,50,1,double,D,3,Sample X39,1.29,129e7,0.0625
2017-08-15,1,50,1,double,D,4,Sample X40,1.321,1321e6,0.0625
2017-08-15,1,50,1,double,D,5,Sample X41,1.294,1294e6,0.0625
2017-08-15,1,50,1,double,D,6,Sample X42,1.309,1309e6,0.0625
2017-08-15,1,50,1,double,D,7,Sample X43,1.302,1302e6,0.0625
2017-08-15,1,50,1,double,D,8,Sample X44,1.31,131e7,0.0625
2017-08-15,1,50,1,double,D,9,Sample X45,1.322,1322e6,0.0625
2017-08-15,1,50,1,double,D,10,Sample X46,1.32,132e7,0.0625
2017-08-15,1,50,1,double,D,11,Sample X47,1.305,1305e6,0.0625
2017-08-15,1,50,1,double,E,2,Sample X50,1.334,1334e6,0.0625
2017-08-15,1,50,1,double,E,3,Sample X51,1.323,1323e6,0.0625
2017-08-15,1,50,1,double,E,4,Sample X52,1.325,1325e6,0.0625
2017-08-15,1,50,1,double,E,5,Sample X53,1.298,1298e6,0.0625
2017-08-15,1,50,1,double,E,6,Sample X54,1.318,1318e6,0.0625
2017-08-15,1,50,1,double,E,7,Sample X55,1.311,1311e6,0.0625
2017-08-15,1,50,1,double,E,8,Sample X56,1.317,1317e6,0.0625
2017-08-15,1,50,1,double,E,9,Sample X57,1.335,1335e6,0.0625
2017-08-15,1,50,1,double,E,10,Sample X58,1.347,1347e6,0.0625
2017-08-15,1,50,1,double,E,11,Sample X59,1.305,1305e6,0.0625
2017-08-15,1,50,1,double,F,2,Sample X62,1.343,1343e6,0.0625
2017-08-15,1,50,1,double,F,3,Sample X63,1.332,1332e6,0.0625
2017-08-15,1,50,1,double,F,4,Sample X64,1.325,1325e6,0.0625
2017-08-15,1,50,1,double,F,5,Sample X65,1.325,1325e6,0.0625
2017-08-15,1,50,1,double,F,6,Sample X66,1.31,131e7,0.0625
2017-08-15,1,50,1,double,F,7,Sample X67,1.323,1323e6,0.0625
2017-08-15,1,50,1,double,F,8,Sample X68,1.32,132e7,0.0625
2017-08-15,1,50,1,double,F,9,Sample X69,1.35,135e7,0.0625
2017-08-15,1,50,1,double,F,10,Sample X70,1.314,1314e6,0.0625
2017-08-15,1,50,1,double,F,11,Sample X71,1.304,1304e6,0.0625
2017-08-15,1,50,1,double,G,2,Sample X74,1.347,1347e6,0.0625
2017-08-15,1,50,1,double,G,3,Sample X75,1.347,1347e6,0.0625
2017-08-15,1,50,1,double,G,4,Sample X76,1.34,134e7,0.0625
2017-08-15,1,50,1,double,G,5,Sample X77,1.348,1348e6,0.0625
2017-08-15,1,50,1,double,G,6,Sample X78,1.274,1274e6,0.0625
2017-08-15,1,50,1,double,G,7,Sample X79,1.331,1331e6,0.0625
2017-08-15,1,50,1,double,G,8,Sample X80,1.26,126e7,0.0625
2017-08-15,1,50,1,double,G,9,Sample X81,1.317,1317e6,0.0625
2017-08-15,1,50,1,double,G,10,Sample X82,1.33,133e7,0.0625
2017-08-15,1,50,1,double,G,11,Sample X83,1.325,1325e6,0.0625
2017-08-15,1,75,1,double,B,2,Sample X14,1.373,1373e6,0.0625
2017-08-15,1,75,1,double,B,3,Sample X15,1.385,1385e6,0.0625
2017-08-15,1,75,1,double,B,4,Sample X16,1.352,1352e6,0.0625
2017-08-15,1,75,1,double,B,5,Sample X17,1.351,1351e6,0.0625
2017-08-15,1,75,1,double,B,6,Sample X18,1.343,1343e6,0.0625
2017-08-15,1,75,1,double,B,7,Sample X19,1.349,1349e6,0.0625
2017-08-15,1,75,1,double,B,8,Sample X20,1.333,1333e6,0.0625
2017-08-15,1,75,1,double,B,9,Sample X21,1.338,1338e6,0.0625
2017-08-15,1,75,1,double,B,10,Sample X22,1.343,1343e6,0.0625
2017-08-15,1,75,1,double,B,11,Sample X23,1.35,135e7,0.0625
2017-08-15,1,75,1,double,C,2,Sample X26,1.346,1346e6,0.0625
2017-08-15,1,75,1,double,C,3,Sample X27,1.326,1326e6,0.0625
2017-08-15,1,75,1,double,C,4,Sample X28,1.321,1321e6,0.0625
2017-08-15,1,75,1,double,C,5,Sample X29,1.333,1333e6,0.0625
2017-08-15,1,75,1,double,C,6,Sample X30,1.319,1319e6,0.0625
2017-08-15,1,75,1,double,C,7,Sample X31,1.324,1324e6,0.0625
2017-08-15,1,75,1,double,C,8,Sample X32,1.281,1281e6,0.0625
2017-08-15,1,75,1,double,C,9,Sample X33,1.331,1331e6,0.0625
2017-08-15,1,75,1,double,C,10,Sample X34,1.304,1304e6,0.0625
2017-08-15,1,75,1,double,C,11,Sample X35,1.331,1331e6,0.0625
2017-08-15,1,75,1,double,D,2,Sample X38,1.356,1356e6,0.0625
2017-08-15,1,75,1,double,D,3,Sample X39,1.352,1352e6,0.0625
2017-08-15,1,75,1,double,D,4,Sample X40,1.333,1333e6,0.0625
2017-08-15,1,75,1,double,D,5,Sample X41,1.332,1332e6,0.0625
2017-08-15,1,75,1,double,D,6,Sample X42,1.323,1323e6,0.0625
2017-08-15,1,75,1,double,D,7,Sample X43,1.333,1333e6,0.0625
2017-08-15,1,75,1,double,D,8,Sample X44,1.35,135e7,0.0625
2017-08-15,1,75,1,double,D,9,Sample X45,1.351,1351e6,0.0625
2017-08-15,1,75,1,double,D,10,Sample X46,1.337,1337e6,0.0625
2017-08-15,1,75,1,double,D,11,Sample X47,1.345,1345e6,0.0625
2017-08-15,1,75,1,double,E,2,Sample X50,1.357,1357e6,0.0625
2017-08-15,1,75,1,double,E,3,Sample X51,1.357,1357e6,0.0625
2017-08-15,1,75,1,double,E,4,Sample X52,1.366,1366e6,0.0625
2017-08-15,1,75,1,double,E,5,Sample X53,1.366,1366e6,0.0625
2017-08-15,1,75,1,double,E,6,Sample X54,1.349,1349e6,0.0625
2017-08-15,1,75,1,double,E,7,Sample X55,1.358,1358e6,0.0625
2017-08-15,1,75,1,double,E,8,Sample X56,1.369,1369e6,0.0625
2017-08-15,1,75,1,double,E,9,Sample X57,1.365,1365e6,0.0625
2017-08-15,1,75,1,double,E,10,Sample X58,1.385,1385e6,0.0625
2017-08-15,1,75,1,double,E,11,Sample X59,1.363,1363e6,0.0625
2017-08-15,1,75,1,double,F,2,Sample X62,1.385,1385e6,0.0625
2017-08-15,1,75,1,double,F,3,Sample X63,1.376,1376e6,0.0625
2017-08-15,1,75,1,double,F,4,Sample X64,1.358,1358e6,0.0625
2017-08-15,1,75,1,double,F,5,Sample X65,1.366,1366e6,0.0625
2017-08-15,1,75,1,double,F,6,Sample X66,1.363,1363e6,0.0625
2017-08-15,1,75,1,double,F,7,Sample X67,1.383,1383e6,0.0625
2017-08-15,1,75,1,double,F,8,Sample X68,1.378,1378e6,0.0625
2017-08-15,1,75,1,double,F,9,Sample X69,1.381,1381e6,0.0625
2017-08-15,1,75,1,double,F,10,Sample X70,1.36,136e7,0.0625
2017-08-15,1,75,1,double,F,11,Sample X71,1.339,1339e6,0.0625
2017-08-15,1,75,1,double,G,2,Sample X74,1.331,1331e6,0.0625
2017-08-15,1,75,1,double,G,3,Sample X75,1.353,1353e6,0.0625
2017-08-15,1,75,1,double,G,4,Sample X76,1.383,1383e6,0.0625
2017-08-15,1,75,1,double,G,5,Sample X77,1.347,1347e6,0.0625
2017-08-15,1,75,1,double,G,6,Sample X78,1.308,1308e6,0.0625
