Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.162,
A,2,Sample X2,0.153,
A,3,Sample X3,0.152,
A,4,Sample X4,0.154,
A,5,Sample X5,0.154,
A,6,Sample X6,0.15,
A,7,Sample X7,0.151,
A,8,Sample X8,0.151,
A,9,Sample X9,0.152,
A,10,Sample X10,0.148,
A,11,Sample X11,0.149,
A,12,Sample X12,0.151,
B,1,Sample X13,0.164,
B,2,Sample X14,1.359,
B,3,Sample X15,1.512,
B,4,Sample X16,1.472,
B,5,Sample X17,1.463,
B,6,Sample X18,1.396,
B,7,Sample X19,1.479,
B,8,Sample X20,1.506,
B,9,Sample X21,1.403,
B,10,Sample X22,1.491,
B,11,Sample X23,1.339,
B,12,Sample X24,0.148,
C,1,Sample X25,0.166,
C,2,Sample X26,1.498,
C,3,Sample X27,1.489,
C,4,Sample X28,1.472,
C,5,Sample X29,1.496,
C,6,Sample X30,1.494,
C,7,Sample X31,1.471,
C,8,Sample X32,1.501,
C,9,Sample X33,1.43,
C,10,Sample X34,1.463,
C,11,Sample X35,1.459,
C,12,Sample X36,0.159,
D,1,Sample X37,0.168,
D,2,Sample X38,1.491,
D,3,Sample X39,1.481,
D,4,Sample X40,1.479,
D,5,Sample X41,1.477,
D,6,Sample X42,1.482,
D,7,Sample X43,1.462,
D,8,Sample X44,1.414,
D,9,Sample X45,1.475,
D,10,Sample X46,1.479,
D,11,Sample X47,1.502,
D,12,Sample X48,0.153,
E,1,Sample X49,0.168,
E,2,Sample X50,1.495,
E,3,Sample X51,1.474,
E,4,Sample X52,1.448,
E,5,Sample X53,1.454,
E,6,Sample X54,1.496,
E,7,Sample X55,1.46,
E,8,Sample X56,1.46,
E,9,Sample X57,1.487,
E,10,Sample X58,1.483,
E,11,Sample X59,1.494,
E,12,Sample X60,0.157,
F,1,Sample X61,0.175,
F,2,Sample X62,1.488,
F,3,Sample X63,1.471,
F,4,Sample X64,1.494,
F,5,Sample X65,1.476,
F,6,Sample X66,1.494,
F,7,Sample X67,1.467,
F,8,Sample X68,1.499,
F,9,Sample X69,1.339,
F,10,Sample X70,1.242,
F,11,Sample X71,1.472,
F,12,Sample X72,0.171,
G,1,Sample X73,0.181,
G,2,Sample X74,1.389,
G,3,Sample X75,1.477,
G,4,Sample X76,1.482,
G,5,Sample X77,1.485,
G,6,Sample X78,1.428,
G,7,Sample X79,1.45,
G,8,Sample X80,1.466,
G,9,Sample X81,1.415,
G,10,Sample X82,1.479,
G,11,Sample X83,1.383,
G,12,Sample X84,0.173,
H,1,Sample X85,0.181,
H,2,Sample X86,0.175,
H,3,Sample X87,0.171,
H,4,Sample X88,0.176,
H,5,Sample X89,0.173,
H,6,Sample X90,0.175,
H,7,Sample X91,0.171,
H,8,Sample X92,0.171,
H,9,Sample X93,0.171,
H,10,Sample X94,0.169,
H,11,Sample X95,0.172,
H,12,Sample X96,0.178,
