Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.156,
A,2,Sample X2,0.151,
A,3,Sample X3,0.152,
A,4,Sample X4,0.153,
A,5,Sample X5,0.149,
A,6,Sample X6,0.152,
A,7,Sample X7,0.148,
A,8,Sample X8,0.149,
A,9,Sample X9,0.158,
A,10,Sample X10,0.155,
A,11,Sample X11,0.155,
A,12,Sample X12,0.154,
B,1,Sample X13,0.158,
B,2,Sample X14,1.091,
B,3,Sample X15,1.087,
B,4,Sample X16,1.098,
B,5,Sample X17,1.097,
B,6,Sample X18,1.126,
B,7,Sample X19,1.118,
B,8,Sample X20,1.101,
B,9,Sample X21,1.147,
B,10,Sample X22,1.125,
B,11,Sample X23,1.159,
B,12,Sample X24,0.159,
C,1,Sample X25,0.168,
C,2,Sample X26,1.135,
C,3,Sample X27,1.106,
C,4,Sample X28,1.092,
C,5,Sample X29,1.165,
C,6,Sample X30,1.148,
C,7,Sample X31,1.138,
C,8,Sample X32,1.119,
C,9,Sample X33,1.144,
C,10,Sample X34,1.124,
C,11,Sample X35,1.159,
C,12,Sample X36,0.168,
D,1,Sample X37,0.182,
D,2,Sample X38,1.085,
D,3,Sample X39,1.087,
D,4,Sample X40,1.098,
D,5,Sample X41,1.123,
D,6,Sample X42,1.123,
D,7,Sample X43,1.103,
D,8,Sample X44,1.097,
D,9,Sample X45,1.12,
D,10,Sample X46,1.128,
D,11,Sample X47,1.143,
D,12,Sample X48,0.171,
E,1,Sample X49,0.175,
E,2,Sample X50,1.079,
E,3,Sample X51,1.043,
E,4,Sample X52,1.082,
E,5,Sample X53,1.075,
E,6,Sample X54,1.08,
E,7,Sample X55,1.071,
E,8,Sample X56,1.067,
E,9,Sample X57,1.113,
E,10,Sample X58,1.109,
E,11,Sample X59,1.1,
E,12,Sample X60,0.181,
F,1,Sample X61,0.184,
F,2,Sample X62,1.118,
F,3,Sample X63,1.08,
F,4,Sample X64,1.079,
F,5,Sample X65,1.08,
F,6,Sample X66,1.086,
F,7,Sample X67,1.076,
F,8,Sample X68,1.065,
F,9,Sample X69,1.083,
F,10,Sample X70,1.092,
F,11,Sample X71,1.097,
F,12,Sample X72,0.194,
G,1,Sample X73,0.18,
G,2,Sample X74,1.107,
G,3,Sample X75,1.125,
G,4,Sample X76,1.12,
G,5,Sample X77,1.167,
G,6,Sample X78,1.137,
G,7,Sample X79,1.117,
G,8,Sample X80,1.084,
G,9,Sample X81,1.109,
G,10,Sample X82,1.169,
G,11,Sample X83,1.145,
G,12,Sample X84,0.193,
H,1,Sample X85,0.187,
H,2,Sample X86,0.182,
H,3,Sample X87,0.176,
H,4,Sample X88,0.174,
H,5,Sample X89,0.176,
H,6,Sample X90,0.179,
H,7,Sample X91,0.185,
H,8,Sample X92,0.189,
H,9,Sample X93,0.194,
H,10,Sample X94,0.191,
H,11,Sample X95,0.2,
H,12,Sample X96,0.198,
