Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.154,
A,2,Sample X2,0.149,
A,3,Sample X3,0.146,
A,4,Sample X4,0.149,
A,5,Sample X5,0.145,
A,6,Sample X6,0.144,
A,7,Sample X7,0.149,
A,8,Sample X8,0.15,
A,9,Sample X9,0.148,
A,10,Sample X10,0.147,
A,11,Sample X11,0.15,
A,12,Sample X12,0.15,
B,1,Sample X13,0.153,
B,2,Sample X14,1.005,
B,3,Sample X15,1.007,
B,4,Sample X16,0.976,
B,5,Sample X17,1.025,
B,6,Sample X18,0.995,
B,7,Sample X19,0.999,
B,8,Sample X20,1.021,
B,9,Sample X21,1.025,
B,10,Sample X22,1.035,
B,11,Sample X23,1.06,
B,12,Sample X24,0.15,
C,1,Sample X25,0.152,
C,2,Sample X26,0.988,
C,3,Sample X27,0.994,
C,4,Sample X28,1.02,
C,5,Sample X29,0.974,
C,6,Sample X30,1.028,
C,7,Sample X31,0.964,
C,8,Sample X32,0.949,
C,9,Sample X33,0.941,
C,10,Sample X34,0.959,
C,11,Sample X35,0.988,
C,12,Sample X36,0.149,
D,1,Sample X37,0.158,
D,2,Sample X38,0.99,
D,3,Sample X39,1.036,
D,4,Sample X40,0.976,
D,5,Sample X41,1.001,
D,6,Sample X42,1.021,
D,7,Sample X43,1.057,
D,8,Sample X44,1.036,
D,9,Sample X45,1.028,
D,10,Sample X46,1.001,
D,11,Sample X47,1.024,
D,12,Sample X48,0.153,
E,1,Sample X49,0.155,
E,2,Sample X50,1.014,
E,3,Sample X51,1.003,
E,4,Sample X52,1.021,
E,5,Sample X53,1.013,
E,6,Sample X54,1.037,
E,7,Sample X55,1.035,
E,8,Sample X56,1.017,
E,9,Sample X57,1.067,
E,10,Sample X58,1.051,
E,11,Sample X59,1.004,
E,12,Sample X60,0.151,
F,1,Sample X61,0.165,
F,2,Sample X62,1.022,
F,3,Sample X63,1.021,
F,4,Sample X64,1.023,
F,5,Sample X65,1.084,
F,6,Sample X66,1.011,
F,7,Sample X67,1.028,
F,8,Sample X68,1.095,
F,9,Sample X69,1.051,
F,10,Sample X70,1.044,
F,11,Sample X71,1.02,
F,12,Sample X72,0.168,
G,1,Sample X73,0.168,
G,2,Sample X74,1.004,
G,3,Sample X75,1.005,
G,4,Sample X76,1.048,
G,5,Sample X77,1.071,
G,6,Sample X78,1.02,
G,7,Sample X79,1.025,
G,8,Sample X80,1.043,
G,9,Sample X81,1.089,
G,10,Sample X82,1.069,
G,11,Sample X83,1.084,
G,12,Sample X84,0.154,
H,1,Sample X85,0.171,
H,2,Sample X86,0.168,
H,3,Sample X87,0.166,
H,4,Sample X88,0.166,
H,5,Sample X89,0.165,
H,6,Sample X90,0.168,
H,7,Sample X91,0.169,
H,8,Sample X92,0.169,
H,9,Sample X93,0.167,
H,10,Sample X94,0.166,
H,11,Sample X95,0.169,
H,12,Sample X96,0.171,
