Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.168,
A,2,Sample X2,0.174,
A,3,Sample X3,0.17,
A,4,Sample X4,0.173,
A,5,Sample X5,0.168,
A,6,Sample X6,0.175,
A,7,Sample X7,0.169,
A,8,Sample X8,0.168,
A,9,Sample X9,0.175,
A,10,Sample X10,0.172,
A,11,Sample X11,0.167,
A,12,Sample X12,0.171,
B,1,Sample X13,0.175,
B,2,Sample X14,1.376,
B,3,Sample X15,1.334,
B,4,Sample X16,1.352,
B,5,Sample X17,1.347,
B,6,Sample X18,1.334,
B,7,Sample X19,1.336,
B,8,Sample X20,1.383,
B,9,Sample X21,1.379,
B,10,Sample X22,1.349,
B,11,Sample X23,1.344,
B,12,Sample X24,0.176,
C,1,Sample X25,0.185,
C,2,Sample X26,1.326,
C,3,Sample X27,1.345,
C,4,Sample X28,1.348,
C,5,Sample X29,1.347,
C,6,Sample X30,1.321,
C,7,Sample X31,1.352,
C,8,Sample X32,1.369,
C,9,Sample X33,1.352,
C,10,Sample X34,1.362,
C,11,Sample X35,1.327,
C,12,Sample X36,0.194,
D,1,Sample X37,0.195,
D,2,Sample X38,1.343,
D,3,Sample X39,1.324,
D,4,Sample X40,1.378,
D,5,Sample X41,1.345,
D,6,Sample X42,1.364,
D,7,Sample X43,1.336,
D,8,Sample X44,1.366,
D,9,Sample X45,1.374,
D,10,Sample X46,1.338,
D,11,Sample X47,1.372,
D,12,Sample X48,0.191,
E,1,Sample X49,0.192,
E,2,Sample X50,1.326,
E,3,Sample X51,1.368,
E,4,Sample X52,1.326,
E,5,Sample X53,1.359,
E,6,Sample X54,1.34,
E,7,Sample X55,1.355,
E,8,Sample X56,1.35,
E,9,Sample X57,1.375,
E,10,Sample X58,1.386,
E,11,Sample X59,1.36,
E,12,Sample X60,0.193,
F,1,Sample X61,0.209,
F,2,Sample X62,1.359,
F,3,Sample X63,1.371,
F,4,Sample X64,1.343,
F,5,Sample X65,1.351,
F,6,Sample X66,1.368,
F,7,Sample X67,1.357,
F,8,Sample X68,1.332,
F,9,Sample X69,1.366,
F,10,Sample X70,1.318,
F,11,Sample X71,1.311,
F,12,Sample X72,0.213,
G,1,Sample X73,0.209,
G,2,Sample X74,1.359,
G,3,Sample X75,1.363,
G,4,Sample X76,1.381,
G,5,Sample X77,1.335,
G,6,Sample X78,1.328,
G,7,Sample X79,1.344,
G,8,Sample X80,1.39,
G,9,Sample X81,1.373,
G,10,Sample X82,1.335,
G,11,Sample X83,1.36,
G,12,Sample X84,0.207,
H,1,Sample X85,0.203,
H,2,Sample X86,0.204,
H,3,Sample X87,0.196,
H,4,Sample X88,0.194,
H,5,Sample X89,0.204,
H,6,Sample X90,0.201,
H,7,Sample X91,0.203,
H,8,Sample X92,0.198,
H,9,Sample X93,0.201,
H,10,Sample X94,0.2,
H,11,Sample X95,0.205,
H,12,Sample X96,0.205,
