Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.172,
A,2,Sample X2,0.167,
A,3,Sample X3,0.166,
A,4,Sample X4,0.169,
A,5,Sample X5,0.168,
A,6,Sample X6,0.171,
A,7,Sample X7,0.17,
A,8,Sample X8,0.172,
A,9,Sample X9,0.171,
A,10,Sample X10,0.171,
A,11,Sample X11,0.176,
A,12,Sample X12,0.175,
B,1,Sample X13,0.172,
B,2,Sample X14,1.372,
B,3,Sample X15,1.373,
B,4,Sample X16,1.371,
B,5,Sample X17,1.361,
B,6,Sample X18,1.336,
B,7,Sample X19,1.345,
B,8,Sample X20,1.34,
B,9,Sample X21,1.355,
B,10,Sample X22,1.36,
B,11,Sample X23,1.354,
B,12,Sample X24,0.177,
C,1,Sample X25,0.175,
C,2,Sample X26,1.333,
C,3,Sample X27,1.328,
C,4,Sample X28,1.329,
C,5,Sample X29,1.341,
C,6,Sample X30,1.348,
C,7,Sample X31,1.321,
C,8,Sample X32,1.33,
C,9,Sample X33,1.341,
C,10,Sample X34,1.358,
C,11,Sample X35,1.341,
C,12,Sample X36,0.197,
D,1,Sample X37,0.182,
D,2,Sample X38,1.351,
D,3,Sample X39,1.339,
D,4,Sample X40,1.34,
D,5,Sample X41,1.335,
D,6,Sample X42,1.345,
D,7,Sample X43,1.333,
D,8,Sample X44,1.357,
D,9,Sample X45,1.342,
D,10,Sample X46,1.37,
D,11,Sample X47,1.339,
D,12,Sample X48,0.186,
E,1,Sample X49,0.179,
E,2,Sample X50,1.342,
E,3,Sample X51,1.353,
E,4,Sample X52,1.341,
E,5,Sample X53,1.337,
E,6,Sample X54,1.324,
E,7,Sample X55,1.31,
E,8,Sample X56,1.31,
E,9,Sample X57,1.321,
E,10,Sample X58,1.364,
E,11,Sample X59,1.349,
E,12,Sample X60,0.192,
F,1,Sample X61,0.195,
F,2,Sample X62,1.352,
F,3,Sample X63,1.345,
F,4,Sample X64,1.335,
F,5,Sample X65,1.376,
F,6,Sample X66,1.348,
F,7,Sample X67,1.35,
F,8,Sample X68,1.363,
F,9,Sample X69,1.366,
F,10,Sample X70,1.383,
F,11,Sample X71,1.354,
F,12,Sample X72,0.211,
G,1,Sample X73,0.198,
G,2,Sample X74,1.359,
G,3,Sample X75,1.377,
G,4,Sample X76,1.372,
G,5,Sample X77,1.378,
G,6,Sample X78,1.37,
G,7,Sample X79,1.371,
G,8,Sample X80,1.376,
G,9,Sample X81,1.377,
G,10,Sample X82,1.384,
G,11,Sample X83,1.381,
G,12,Sample X84,0.213,
H,1,Sample X85,0.199,
H,2,Sample X86,0.2,
H,3,Sample X87,0.193,
H,4,Sample X88,0.197,
H,5,Sample X89,0.195,
H,6,Sample X90,0.201,
H,7,Sample X91,0.202,
H,8,Sample X92,0.202,
H,9,Sample X93,0.201,
H,10,Sample X94,0.2,
H,11,Sample X95,0.209,
H,12,Sample X96,0.223,
