Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.159,
A,2,Sample X2,0.152,
A,3,Sample X3,0.152,
A,4,Sample X4,0.16,
A,5,Sample X5,0.157,
A,6,Sample X6,0.153,
A,7,Sample X7,0.148,
A,8,Sample X8,0.152,
A,9,Sample X9,0.158,
A,10,Sample X10,0.155,
A,11,Sample X11,0.152,
A,12,Sample X12,0.158,
B,1,Sample X13,0.159,
B,2,Sample X14,1.344,
B,3,Sample X15,1.387,
B,4,Sample X16,1.339,
B,5,Sample X17,1.374,
B,6,Sample X18,1.356,
B,7,Sample X19,1.359,
B,8,Sample X20,1.353,
B,9,Sample X21,1.383,
B,10,Sample X22,1.359,
B,11,Sample X23,1.357,
B,12,Sample X24,0.16,
C,1,Sample X25,0.169,
C,2,Sample X26,1.359,
C,3,Sample X27,1.371,
C,4,Sample X28,1.337,
C,5,Sample X29,1.356,
C,6,Sample X30,1.341,
C,7,Sample X31,1.303,
C,8,Sample X32,1.375,
C,9,Sample X33,1.37,
C,10,Sample X34,1.36,
C,11,Sample X35,1.402,
C,12,Sample X36,0.166,
D,1,Sample X37,0.18,
D,2,Sample X38,1.346,
D,3,Sample X39,1.352,
D,4,Sample X40,1.342,
D,5,Sample X41,1.311,
D,6,Sample X42,1.349,
D,7,Sample X43,1.347,
D,8,Sample X44,1.31,
D,9,Sample X45,1.333,
D,10,Sample X46,1.355,
D,11,Sample X47,1.385,
D,12,Sample X48,0.173,
E,1,Sample X49,0.172,
E,2,Sample X50,1.381,
E,3,Sample X51,1.369,
E,4,Sample X52,1.331,
E,5,Sample X53,1.343,
E,6,Sample X54,1.346,
E,7,Sample X55,1.337,
E,8,Sample X56,1.336,
E,9,Sample X57,1.347,
E,10,Sample X58,1.346,
E,11,Sample X59,1.362,
E,12,Sample X60,0.173,
F,1,Sample X61,0.184,
F,2,Sample X62,1.36,
F,3,Sample X63,1.379,
F,4,Sample X64,1.351,
F,5,Sample X65,1.368,
F,6,Sample X66,1.362,
F,7,Sample X67,1.354,
F,8,Sample X68,1.333,
F,9,Sample X69,1.354,
F,10,Sample X70,1.36,
F,11,Sample X71,1.367,
F,12,Sample X72,0.186,
G,1,Sample X73,0.185,
G,2,Sample X74,1.353,
G,3,Sample X75,1.378,
G,4,Sample X76,1.37,
G,5,Sample X77,1.389,
G,6,Sample X78,1.361,
G,7,Sample X79,1.374,
G,8,Sample X80,1.397,
G,9,Sample X81,1.363,
G,10,Sample X82,1.379,
G,11,Sample X83,1.394,
G,12,Sample X84,0.189,
H,1,Sample X85,0.193,
H,2,Sample X86,0.184,
H,3,Sample X87,0.175,
H,4,Sample X88,0.178,
H,5,Sample X89,0.177,
H,6,Sample X90,0.178,
H,7,Sample X91,0.181,
H,8,Sample X92,0.192,
H,9,Sample X93,0.18,
H,10,Sample X94,0.176,
H,11,Sample X95,0.183,
H,12,Sample X96,0.187,
