Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.159,
A,2,Sample X2,0.171,
A,3,Sample X3,0.175,
A,4,Sample X4,0.183,
A,5,Sample X5,0.175,
A,6,Sample X6,0.193,
A,7,Sample X7,0.19,
A,8,Sample X8,0.193,
A,9,Sample X9,0.208,
A,10,Sample X10,0.209,
A,11,Sample X11,0.212,
A,12,Sample X12,0.216,
B,1,Sample X13,0.171,
B,2,Sample X14,1.113,
B,3,Sample X15,1.111,
B,4,Sample X16,1.092,
B,5,Sample X17,1.132,
B,6,Sample X18,1.109,
B,7,Sample X19,1.101,
B,8,Sample X20,1.077,
B,9,Sample X21,1.084,
B,10,Sample X22,1.088,
B,11,Sample X23,1.089,
B,12,Sample X24,0.231,
C,1,Sample X25,0.178,
C,2,Sample X26,1.082,
C,3,Sample X27,1.078,
C,4,Sample X28,1.109,
C,5,Sample X29,1.095,
C,6,Sample X30,1.079,
C,7,Sample X31,1.05,
C,8,Sample X32,1.039,
C,9,Sample X33,1.057,
C,10,Sample X34,1.031,
C,11,Sample X35,1.077,
C,12,Sample X36,0.246,
D,1,Sample X37,0.191,
D,2,Sample X38,1.068,
D,3,Sample X39,1.066,
D,4,Sample X40,1.054,
D,5,Sample X41,1.027,
D,6,Sample X42,1.111,
D,7,Sample X43,1.086,
D,8,Sample X44,1.066,
D,9,Sample X45,1.061,
D,10,Sample X46,1.064,
D,11,Sample X47,1.071,
D,12,Sample X48,0.248,
E,1,Sample X49,0.187,
E,2,Sample X50,1.077,
E,3,Sample X51,1.101,
E,4,Sample X52,1.056,
E,5,Sample X53,1.12,
E,6,Sample X54,1.095,
E,7,Sample X55,1.062,
E,8,Sample X56,1.06,
E,9,Sample X57,1.099,
E,10,Sample X58,1.069,
E,11,Sample X59,1.041,
E,12,Sample X60,0.266,
F,1,Sample X61,0.198,
F,2,Sample X62,1.074,
F,3,Sample X63,1.095,
F,4,Sample X64,1.087,
F,5,Sample X65,1.103,
F,6,Sample X66,1.097,
F,7,Sample X67,1.076,
F,8,Sample X68,1.063,
F,9,Sample X69,1.071,
F,10,Sample X70,1.061,
F,11,Sample X71,1.028,
F,12,Sample X72,0.278,
G,1,Sample X73,0.203,
G,2,Sample X74,1.099,
G,3,Sample X75,1.09,
G,4,Sample X76,1.064,
G,5,Sample X77,1.08,
G,6,Sample X78,1.104,
G,7,Sample X79,1.069,
G,8,Sample X80,1.038,
G,9,Sample X81,1.054,
G,10,Sample X82,1.067,
G,11,Sample X83,1.055,
G,12,Sample X84,0.277,
H,1,Sample X85,0.197,
H,2,Sample X86,0.203,
H,3,Sample X87,0.206,
H,4,Sample X88,0.211,
H,5,Sample X89,0.218,
H,6,Sample X90,0.222,
H,7,Sample X91,0.233,
H,8,Sample X92,0.235,
H,9,Sample X93,0.245,
H,10,Sample X94,0.255,
H,11,Sample X95,0.27,
H,12,Sample X96,0.276,
