Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.153,
A,2,Sample X2,0.153,
A,3,Sample X3,0.15,
A,4,Sample X4,0.153,
A,5,Sample X5,0.153,
A,6,Sample X6,0.15,
A,7,Sample X7,0.15,
A,8,Sample X8,0.149,
A,9,Sample X9,0.15,
A,10,Sample X10,0.149,
A,11,Sample X11,0.15,
A,12,Sample X12,0.151,
B,1,Sample X13,0.159,
B,2,Sample X14,1.319,
B,3,Sample X15,1.386,
B,4,Sample X16,1.343,
B,5,Sample X17,1.38,
B,6,Sample X18,1.35,
B,7,Sample X19,1.354,
B,8,Sample X20,1.396,
B,9,Sample X21,1.364,
B,10,Sample X22,1.384,
B,11,Sample X23,1.328,
B,12,Sample X24,0.149,
C,1,Sample X25,0.162,
C,2,Sample X26,1.361,
C,3,Sample X27,1.33,
C,4,Sample X28,1.368,
C,5,Sample X29,1.369,
C,6,Sample X30,1.344,
C,7,Sample X31,1.32,
C,8,Sample X32,1.339,
C,9,Sample X33,1.389,
C,10,Sample X34,1.384,
C,11,Sample X35,1.3,
C,12,Sample X36,0.159,
D,1,Sample X37,0.167,
D,2,Sample X38,1.379,
D,3,Sample X39,1.329,
D,4,Sample X40,1.349,
D,5,Sample X41,1.34,
D,6,Sample X42,1.376,
D,7,Sample X43,1.332,
D,8,Sample X44,1.307,
D,9,Sample X45,1.391,
D,10,Sample X46,1.397,
D,11,Sample X47,1.386,
D,12,Sample X48,0.161,
E,1,Sample X49,0.168,
E,2,Sample X50,1.351,
E,3,Sample X51,1.342,
E,4,Sample X52,1.327,
E,5,Sample X53,1.379,
E,6,Sample X54,1.367,
E,7,Sample X55,1.327,
E,8,Sample X56,1.363,
E,9,Sample X57,1.375,
E,10,Sample X58,1.408,
E,11,Sample X59,1.391,
E,12,Sample X60,0.164,
F,1,Sample X61,0.172,
F,2,Sample X62,1.372,
F,3,Sample X63,1.399,
F,4,Sample X64,1.38,
F,5,Sample X65,1.406,
F,6,Sample X66,1.353,
F,7,Sample X67,1.31,
F,8,Sample X68,1.367,
F,9,Sample X69,1.35,
F,10,Sample X70,1.291,
F,11,Sample X71,1.366,
F,12,Sample X72,0.173,
G,1,Sample X73,0.185,
G,2,Sample X74,1.323,
G,3,Sample X75,1.379,
G,4,Sample X76,1.395,
G,5,Sample X77,1.388,
G,6,Sample X78,1.347,
G,7,Sample X79,1.357,
G,8,Sample X80,1.338,
G,9,Sample X81,1.332,
G,10,Sample X82,1.338,
G,11,Sample X83,1.354,
G,12,Sample X84,0.18,
H,1,Sample X85,0.18,
H,2,Sample X86,0.178,
H,3,Sample X87,0.173,
H,4,Sample X88,0.18,
H,5,Sample X89,0.175,
H,6,Sample X90,0.173,
H,7,Sample X91,0.175,
H,8,Sample X92,0.178,
H,9,Sample X93,0.177,
H,10,Sample X94,0.18,
H,11,Sample X95,0.175,
H,12,Sample X96,0.183,
