Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.167,
A,2,Sample X2,0.168,
A,3,Sample X3,0.172,
A,4,Sample X4,0.168,
A,5,Sample X5,0.167,
A,6,Sample X6,0.165,
A,7,Sample X7,0.168,
A,8,Sample X8,0.172,
A,9,Sample X9,0.179,
A,10,Sample X10,0.174,
A,11,Sample X11,0.173,
A,12,Sample X12,0.17,
B,1,Sample X13,0.175,
B,2,Sample X14,1.124,
B,3,Sample X15,1.052,
B,4,Sample X16,1.082,
B,5,Sample X17,1.111,
B,6,Sample X18,1.073,
B,7,Sample X19,1.096,
B,8,Sample X20,1.064,
B,9,Sample X21,1.109,
B,10,Sample X22,1.086,
B,11,Sample X23,1.105,
B,12,Sample X24,0.183,
C,1,Sample X25,0.185,
C,2,Sample X26,1.11,
C,3,Sample X27,1.049,
C,4,Sample X28,1.092,
C,5,Sample X29,1.088,
C,6,Sample X30,1.062,
C,7,Sample X31,1.091,
C,8,Sample X32,1.075,
C,9,Sample X33,1.088,
C,10,Sample X34,1.051,
C,11,Sample X35,1.013,
C,12,Sample X36,0.194,
D,1,Sample X37,0.2,
D,2,Sample X38,1.139,
D,3,Sample X39,1.095,
D,4,Sample X40,1.099,
D,5,Sample X41,1.087,
D,6,Sample X42,1.104,
D,7,Sample X43,1.099,
D,8,Sample X44,1.068,
D,9,Sample X45,1.083,
D,10,Sample X46,1.131,
D,11,Sample X47,1.105,
D,12,Sample X48,0.203,
E,1,Sample X49,0.193,
E,2,Sample X50,1.154,
E,3,Sample X51,1.09,
E,4,Sample X52,1.13,
E,5,Sample X53,1.122,
E,6,Sample X54,1.103,
E,7,Sample X55,1.117,
E,8,Sample X56,1.097,
E,9,Sample X57,1.133,
E,10,Sample X58,1.117,
E,11,Sample X59,1.132,
E,12,Sample X60,0.207,
F,1,Sample X61,0.208,
F,2,Sample X62,1.161,
F,3,Sample X63,1.119,
F,4,Sample X64,1.112,
F,5,Sample X65,1.14,
F,6,Sample X66,1.12,
F,7,Sample X67,1.15,
F,8,Sample X68,1.113,
F,9,Sample X69,1.114,
F,10,Sample X70,1.151,
F,11,Sample X71,1.133,
F,12,Sample X72,0.221,
G,1,Sample X73,0.205,
G,2,Sample X74,1.142,
G,3,Sample X75,1.148,
G,4,Sample X76,1.157,
G,5,Sample X77,1.14,
G,6,Sample X78,1.158,
G,7,Sample X79,1.177,
G,8,Sample X80,1.123,
G,9,Sample X81,1.152,
G,10,Sample X82,1.151,
G,11,Sample X83,1.158,
G,12,Sample X84,0.224,
H,1,Sample X85,0.214,
H,2,Sample X86,0.208,
H,3,Sample X87,0.206,
H,4,Sample X88,0.205,
H,5,Sample X89,0.206,
H,6,Sample X90,0.214,
H,7,Sample X91,0.21,
H,8,Sample X92,0.217,
H,9,Sample X93,0.213,
H,10,Sample X94,0.216,
H,11,Sample X95,0.228,
H,12,Sample X96,0.224,
