Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.163,
A,2,Sample X2,0.163,
A,3,Sample X3,0.161,
A,4,Sample X4,0.163,
A,5,Sample X5,0.161,
A,6,Sample X6,0.163,
A,7,Sample X7,0.167,
A,8,Sample X8,0.165,
A,9,Sample X9,0.165,
A,10,Sample X10,0.167,
A,11,Sample X11,0.169,
A,12,Sample X12,0.166,
B,1,Sample X13,0.166,
B,2,Sample X14,1.105,
B,3,Sample X15,1.13,
B,4,Sample X16,1.122,
B,5,Sample X17,1.097,
B,6,Sample X18,1.058,
B,7,Sample X19,1.031,
B,8,Sample X20,1.092,
B,9,Sample X21,1.054,
B,10,Sample X22,1.067,
B,11,Sample X23,1.036,
B,12,Sample X24,0.161,
C,1,Sample X25,0.167,
C,2,Sample X26,1.063,
C,3,Sample X27,1.072,
C,4,Sample X28,1.054,
C,5,Sample X29,1.102,
C,6,Sample X30,1.081,
C,7,Sample X31,1.055,
C,8,Sample X32,1.023,
C,9,Sample X33,1.038,
C,10,Sample X34,1.007,
C,11,Sample X35,0.997,
C,12,Sample X36,0.179,
D,1,Sample X37,0.173,
D,2,Sample X38,1.072,
D,3,Sample X39,1.085,
D,4,Sample X40,1.061,
D,5,Sample X41,1.062,
D,6,Sample X42,1.06,
D,7,Sample X43,1.06,
D,8,Sample X44,1.096,
D,9,Sample X45,1.055,
D,10,Sample X46,1.067,
D,11,Sample X47,1.026,
D,12,Sample X48,0.173,
E,1,Sample X49,0.176,
E,2,Sample X50,1.073,
E,3,Sample X51,1.131,
E,4,Sample X52,1.121,
E,5,Sample X53,1.123,
E,6,Sample X54,1.089,
E,7,Sample X55,1.068,
E,8,Sample X56,1.099,
E,9,Sample X57,1.073,
E,10,Sample X58,1.122,
E,11,Sample X59,1.072,
E,12,Sample X60,0.178,
F,1,Sample X61,0.188,
F,2,Sample X62,1.122,
F,3,Sample X63,1.106,
F,4,Sample X64,1.087,
F,5,Sample X65,1.137,
F,6,Sample X66,1.06,
F,7,Sample X67,1.071,
F,8,Sample X68,1.097,
F,9,Sample X69,1.102,
F,10,Sample X70,1.121,
F,11,Sample X71,1.06,
F,12,Sample X72,0.19,
G,1,Sample X73,0.195,
G,2,Sample X74,1.118,
G,3,Sample X75,1.15,
G,4,Sample X76,1.061,
G,5,Sample X77,1.08,
G,6,Sample X78,1.076,
G,7,Sample X79,1.042,
G,8,Sample X80,1.09,
G,9,Sample X81,1.049,
G,10,Sample X82,1.09,
G,11,Sample X83,1.084,
G,12,Sample X84,0.195,
H,1,Sample X85,0.195,
H,2,Sample X86,0.192,
H,3,Sample X87,0.192,
H,4,Sample X88,0.189,
H,5,Sample X89,0.186,
H,6,Sample X90,0.189,
H,7,Sample X91,0.195,
H,8,Sample X92,0.193,
H,9,Sample X93,0.19,
H,10,Sample X94,0.191,
H,11,Sample X95,0.199,
H,12,Sample X96,0.197,
