Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.184,
A,2,Sample X2,0.185,
A,3,Sample X3,0.186,
A,4,Sample X4,0.187,
A,5,Sample X5,0.186,
A,6,Sample X6,0.187,
A,7,Sample X7,0.188,
A,8,Sample X8,0.188,
A,9,Sample X9,0.193,
A,10,Sample X10,0.195,
A,11,Sample X11,0.196,
A,12,Sample X12,0.203,
B,1,Sample X13,0.186,
B,2,Sample X14,1.335,
B,3,Sample X15,1.329,
B,4,Sample X16,1.319,
B,5,Sample X17,1.288,
B,6,Sample X18,1.3,
B,7,Sample X19,1.277,
B,8,Sample X20,1.327,
B,9,Sample X21,1.325,
B,10,Sample X22,1.331,
B,11,Sample X23,1.34,
B,12,Sample X24,0.199,
C,1,Sample X25,0.192,
C,2,Sample X26,1.29,
C,3,Sample X27,1.276,
C,4,Sample X28,1.252,
C,5,Sample X29,1.283,
C,6,Sample X30,1.248,
C,7,Sample X31,1.264,
C,8,Sample X32,1.265,
C,9,Sample X33,1.273,
C,10,Sample X34,1.283,
C,11,Sample X35,1.299,
C,12,Sample X36,0.219,
D,1,Sample X37,0.199,
D,2,Sample X38,1.29,
D,3,Sample X39,1.296,
D,4,Sample X40,1.29,
D,5,Sample X41,1.306,
D,6,Sample X42,1.275,
D,7,Sample X43,1.302,
D,8,Sample X44,1.309,
D,9,Sample X45,1.297,
D,10,Sample X46,1.326,
D,11,Sample X47,1.329,
D,12,Sample X48,0.212,
E,1,Sample X49,0.194,
E,2,Sample X50,1.324,
E,3,Sample X51,1.305,
E,4,Sample X52,1.287,
E,5,Sample X53,1.298,
E,6,Sample X54,1.301,
E,7,Sample X55,1.309,
E,8,Sample X56,1.308,
E,9,Sample X57,1.334,
E,10,Sample X58,1.344,
E,11,Sample X59,1.353,
E,12,Sample X60,0.213,
F,1,Sample X61,0.208,
F,2,Sample X62,1.338,
F,3,Sample X63,1.348,
F,4,Sample X64,1.342,
F,5,Sample X65,1.349,
F,6,Sample X66,1.335,
F,7,Sample X67,1.321,
F,8,Sample X68,1.355,
F,9,Sample X69,1.342,
F,10,Sample X70,1.334,
F,11,Sample X71,1.341,
F,12,Sample X72,0.238,
G,1,Sample X73,0.214,
G,2,Sample X74,1.321,
G,3,Sample X75,1.337,
G,4,Sample X76,1.349,
G,5,Sample X77,1.344,
G,6,Sample X78,1.349,
G,7,Sample X79,1.324,
G,8,Sample X80,1.362,
G,9,Sample X81,1.356,
G,10,Sample X82,1.366,
G,11,Sample X83,1.35,
G,12,Sample X84,0.238,
H,1,Sample X85,0.207,
H,2,Sample X86,0.209,
H,3,Sample X87,0.209,
H,4,Sample X88,0.213,
H,5,Sample X89,0.209,
H,6,Sample X90,0.211,
H,7,Sample X91,0.216,
H,8,Sample X92,0.22,
H,9,Sample X93,0.221,
H,10,Sample X94,0.223,
H,11,Sample X95,0.231,
H,12,Sample X96,0.241,
