Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.162,
A,2,Sample X2,0.16,
A,3,Sample X3,0.157,
A,4,Sample X4,0.157,
A,5,Sample X5,0.157,
A,6,Sample X6,0.158,
A,7,Sample X7,0.16,
A,8,Sample X8,0.161,
A,9,Sample X9,0.156,
A,10,Sample X10,0.157,
A,11,Sample X11,0.157,
A,12,Sample X12,0.16,
B,1,Sample X13,0.164,
B,2,Sample X14,1.351,
B,3,Sample X15,1.372,
B,4,Sample X16,1.324,
B,5,Sample X17,1.35,
B,6,Sample X18,1.351,
B,7,Sample X19,1.302,
B,8,Sample X20,1.336,
B,9,Sample X21,1.329,
B,10,Sample X22,1.344,
B,11,Sample X23,1.313,
B,12,Sample X24,0.156,
C,1,Sample X25,0.166,
C,2,Sample X26,1.331,
C,3,Sample X27,1.314,
C,4,Sample X28,1.333,
C,5,Sample X29,1.353,
C,6,Sample X30,1.327,
C,7,Sample X31,1.318,
C,8,Sample X32,1.366,
C,9,Sample X33,1.367,
C,10,Sample X34,1.373,
C,11,Sample X35,1.4,
C,12,Sample X36,0.17,
D,1,Sample X37,0.173,
D,2,Sample X38,1.326,
D,3,Sample X39,1.34,
D,4,Sample X40,1.352,
D,5,Sample X41,1.35,
D,6,Sample X42,1.363,
D,7,Sample X43,1.382,
D,8,Sample X44,1.334,
D,9,Sample X45,1.333,
D,10,Sample X46,1.355,
D,11,Sample X47,1.329,
D,12,Sample X48,0.167,
E,1,Sample X49,0.168,
E,2,Sample X50,1.367,
E,3,Sample X51,1.333,
E,4,Sample X52,1.317,
E,5,Sample X53,1.318,
E,6,Sample X54,1.311,
E,7,Sample X55,1.304,
E,8,Sample X56,1.322,
E,9,Sample X57,1.313,
E,10,Sample X58,1.342,
E,11,Sample X59,1.308,
E,12,Sample X60,0.166,
F,1,Sample X61,0.182,
F,2,Sample X62,1.334,
F,3,Sample X63,1.356,
F,4,Sample X64,1.355,
F,5,Sample X65,1.322,
F,6,Sample X66,1.338,
F,7,Sample X67,1.322,
F,8,Sample X68,1.345,
F,9,Sample X69,1.317,
F,10,Sample X70,1.301,
F,11,Sample X71,1.32,
F,12,Sample X72,0.185,
G,1,Sample X73,0.188,
G,2,Sample X74,1.363,
G,3,Sample X75,1.352,
G,4,Sample X76,1.353,
G,5,Sample X77,1.383,
G,6,Sample X78,1.366,
G,7,Sample X79,1.357,
G,8,Sample X80,1.389,
G,9,Sample X81,1.378,
G,10,Sample X82,1.387,
G,11,Sample X83,1.349,
G,12,Sample X84,0.186,
H,1,Sample X85,0.19,
H,2,Sample X86,0.185,
H,3,Sample X87,0.183,
H,4,Sample X88,0.186,
H,5,Sample X89,0.188,
H,6,Sample X90,0.187,
H,7,Sample X91,0.187,
H,8,Sample X92,0.184,
H,9,Sample X93,0.182,
H,10,Sample X94,0.182,
H,11,Sample X95,0.187,
H,12,Sample X96,0.198,
