Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.169,
A,2,Sample X2,0.153,
A,3,Sample X3,0.155,
A,4,Sample X4,0.161,
A,5,Sample X5,0.154,
A,6,Sample X6,0.157,
A,7,Sample X7,0.151,
A,8,Sample X8,0.155,
A,9,Sample X9,0.158,
A,10,Sample X10,0.154,
A,11,Sample X11,0.153,
A,12,Sample X12,0.162,
B,1,Sample X13,0.169,
B,2,Sample X14,1.501,
B,3,Sample X15,1.486,
B,4,Sample X16,1.407,
B,5,Sample X17,1.366,
B,6,Sample X18,1.463,
B,7,Sample X19,1.465,
B,8,Sample X20,1.479,
B,9,Sample X21,1.227,
B,10,Sample X22,1.242,
B,11,Sample X23,1.131,
B,12,Sample X24,0.153,
C,1,Sample X25,0.175,
C,2,Sample X26,1.483,
C,3,Sample X27,1.493,
C,4,Sample X28,1.468,
C,5,Sample X29,1.479,
C,6,Sample X30,1.497,
C,7,Sample X31,1.438,
C,8,Sample X32,1.456,
C,9,Sample X33,1.465,
C,10,Sample X34,1.493,
C,11,Sample X35,1.455,
C,12,Sample X36,0.169,
D,1,Sample X37,0.188,
D,2,Sample X38,1.47,
D,3,Sample X39,1.456,
D,4,Sample X40,1.405,
D,5,Sample X41,1.413,
D,6,Sample X42,1.416,
D,7,Sample X43,1.451,
D,8,Sample X44,1.302,
D,9,Sample X45,1.345,
D,10,Sample X46,1.449,
D,11,Sample X47,1.475,
D,12,Sample X48,0.169,
E,1,Sample X49,0.178,
E,2,Sample X50,1.447,
E,3,Sample X51,1.443,
E,4,Sample X52,1.456,
E,5,Sample X53,1.306,
E,6,Sample X54,1.457,
E,7,Sample X55,1.422,
E,8,Sample X56,1.417,
E,9,Sample X57,1.439,
E,10,Sample X58,1.287,
E,11,Sample X59,1.45,
E,12,Sample X60,0.172,
F,1,Sample X61,0.192,
F,2,Sample X62,1.462,
F,3,Sample X63,1.431,
F,4,Sample X64,1.387,
F,5,Sample X65,1.379,
F,6,Sample X66,1.446,
F,7,Sample X67,1.432,
F,8,Sample X68,1.439,
F,9,Sample X69,1.421,
F,10,Sample X70,1.225,
F,11,Sample X71,1.431,
F,12,Sample X72,0.186,
G,1,Sample X73,0.194,
G,2,Sample X74,1.395,
G,3,Sample X75,1.47,
G,4,Sample X76,1.475,
G,5,Sample X77,1.254,
G,6,Sample X78,1.447,
G,7,Sample X79,1.464,
G,8,Sample X80,1.427,
G,9,Sample X81,1.45,
G,10,Sample X82,1.464,
G,11,Sample X83,1.45,
G,12,Sample X84,0.187,
H,1,Sample X85,0.202,
H,2,Sample X86,0.192,
H,3,Sample X87,0.181,
H,4,Sample X88,0.187,
H,5,Sample X89,0.188,
H,6,Sample X90,0.191,
H,7,Sample X91,0.191,
H,8,Sample X92,0.191,
H,9,Sample X93,0.188,
H,10,Sample X94,0.182,
H,11,Sample X95,0.186,
H,12,Sample X96,0.188,
