Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.157,
A,2,Sample X2,0.159,
A,3,Sample X3,0.159,
A,4,Sample X4,0.163,
A,5,Sample X5,0.162,
A,6,Sample X6,0.16,
A,7,Sample X7,0.155,
A,8,Sample X8,0.16,
A,9,Sample X9,0.167,
A,10,Sample X10,0.164,
A,11,Sample X11,0.164,
A,12,Sample X12,0.173,
B,1,Sample X13,0.163,
B,2,Sample X14,1.41,
B,3,Sample X15,1.422,
B,4,Sample X16,1.397,
B,5,Sample X17,1.407,
B,6,Sample X18,1.392,
B,7,Sample X19,1.39,
B,8,Sample X20,1.375,
B,9,Sample X21,1.384,
B,10,Sample X22,1.396,
B,11,Sample X23,1.397,
B,12,Sample X24,0.166,
C,1,Sample X25,0.172,
C,2,Sample X26,1.377,
C,3,Sample X27,1.396,
C,4,Sample X28,1.412,
C,5,Sample X29,1.42,
C,6,Sample X30,1.395,
C,7,Sample X31,1.392,
C,8,Sample X32,1.386,
C,9,Sample X33,1.398,
C,10,Sample X34,1.39,
C,11,Sample X35,1.386,
C,12,Sample X36,0.186,
D,1,Sample X37,0.184,
D,2,Sample X38,1.404,
D,3,Sample X39,1.409,
D,4,Sample X40,1.392,
D,5,Sample X41,1.396,
D,6,Sample X42,1.391,
D,7,Sample X43,1.383,
D,8,Sample X44,1.401,
D,9,Sample X45,1.366,
D,10,Sample X46,1.385,
D,11,Sample X47,1.384,
D,12,Sample X48,0.177,
E,1,Sample X49,0.174,
E,2,Sample X50,1.391,
E,3,Sample X51,1.39,
E,4,Sample X52,1.39,
E,5,Sample X53,1.406,
E,6,Sample X54,1.361,
E,7,Sample X55,1.34,
E,8,Sample X56,1.351,
E,9,Sample X57,1.361,
E,10,Sample X58,1.374,
E,11,Sample X59,1.36,
E,12,Sample X60,0.185,
F,1,Sample X61,0.18,
F,2,Sample X62,1.395,
F,3,Sample X63,1.369,
F,4,Sample X64,1.353,
F,5,Sample X65,1.373,
F,6,Sample X66,1.355,
F,7,Sample X67,1.363,
F,8,Sample X68,1.366,
F,9,Sample X69,1.346,
F,10,Sample X70,1.357,
F,11,Sample X71,1.335,
F,12,Sample X72,0.196,
G,1,Sample X73,0.194,
G,2,Sample X74,1.361,
G,3,Sample X75,1.418,
G,4,Sample X76,1.409,
G,5,Sample X77,1.419,
G,6,Sample X78,1.429,
G,7,Sample X79,1.396,
G,8,Sample X80,1.405,
G,9,Sample X81,1.409,
G,10,Sample X82,1.389,
G,11,Sample X83,1.344,
G,12,Sample X84,0.205,
H,1,Sample X85,0.193,
H,2,Sample X86,0.186,
H,3,Sample X87,0.182,
H,4,Sample X88,0.183,
H,5,Sample X89,0.183,
H,6,Sample X90,0.185,
H,7,Sample X91,0.188,
H,8,Sample X92,0.193,
H,9,Sample X93,0.195,
H,10,Sample X94,0.193,
H,11,Sample X95,0.198,
H,12,Sample X96,0.197,
