Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.164,
A,2,Sample X2,0.163,
A,3,Sample X3,0.164,
A,4,Sample X4,0.165,
A,5,Sample X5,0.16,
A,6,Sample X6,0.162,
A,7,Sample X7,0.164,
A,8,Sample X8,0.17,
A,9,Sample X9,0.172,
A,10,Sample X10,0.164,
A,11,Sample X11,0.164,
A,12,Sample X12,0.162,
B,1,Sample X13,0.172,
B,2,Sample X14,0.994,
B,3,Sample X15,1.021,
B,4,Sample X16,0.951,
B,5,Sample X17,0.964,
B,6,Sample X18,0.976,
B,7,Sample X19,1.047,
B,8,Sample X20,0.947,
B,9,Sample X21,0.956,
B,10,Sample X22,0.952,
B,11,Sample X23,1.004,
B,12,Sample X24,0.175,
C,1,Sample X25,0.181,
C,2,Sample X26,1.043,
C,3,Sample X27,1.005,
C,4,Sample X28,1.024,
C,5,Sample X29,1.035,
C,6,Sample X30,1.021,
C,7,Sample X31,1.046,
C,8,Sample X32,0.992,
C,9,Sample X33,1.037,
C,10,Sample X34,1.011,
C,11,Sample X35,0.981,
C,12,Sample X36,0.183,
D,1,Sample X37,0.199,
D,2,Sample X38,1.01,
D,3,Sample X39,1.006,
D,4,Sample X40,1.024,
D,5,Sample X41,1.008,
D,6,Sample X42,1.008,
D,7,Sample X43,1.003,
D,8,Sample X44,0.986,
D,9,Sample X45,0.999,
D,10,Sample X46,0.997,
D,11,Sample X47,0.998,
D,12,Sample X48,0.189,
E,1,Sample X49,0.187,
E,2,Sample X50,1.001,
E,3,Sample X51,1.005,
E,4,Sample X52,1.046,
E,5,Sample X53,1.082,
E,6,Sample X54,1.025,
E,7,Sample X55,1.044,
E,8,Sample X56,1.018,
E,9,Sample X57,1.043,
E,10,Sample X58,1.072,
E,11,Sample X59,1.036,
E,12,Sample X60,0.192,
F,1,Sample X61,0.205,
F,2,Sample X62,1.041,
F,3,Sample X63,1.059,
F,4,Sample X64,1.027,
F,5,Sample X65,1.056,
F,6,Sample X66,1.07,
F,7,Sample X67,1.051,
F,8,Sample X68,1.047,
F,9,Sample X69,1.08,
F,10,Sample X70,1.087,
F,11,Sample X71,1.06,
F,12,Sample X72,0.213,
G,1,Sample X73,0.204,
G,2,Sample X74,1.022,
G,3,Sample X75,1.079,
G,4,Sample X76,1.074,
G,5,Sample X77,1.04,
G,6,Sample X78,1.037,
G,7,Sample X79,1.074,
G,8,Sample X80,1.035,
G,9,Sample X81,1.059,
G,10,Sample X82,1.09,
G,11,Sample X83,1.077,
G,12,Sample X84,0.206,
H,1,Sample X85,0.211,
H,2,Sample X86,0.204,
H,3,Sample X87,0.198,
H,4,Sample X88,0.199,
H,5,Sample X89,0.201,
H,6,Sample X90,0.205,
H,7,Sample X91,0.206,
H,8,Sample X92,0.21,
H,9,Sample X93,0.203,
H,10,Sample X94,0.204,
H,11,Sample X95,0.215,
H,12,Sample X96,0.206,
