Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.158,
A,2,Sample X2,0.152,
A,3,Sample X3,0.146,
A,4,Sample X4,0.149,
A,5,Sample X5,0.147,
A,6,Sample X6,0.146,
A,7,Sample X7,0.147,
A,8,Sample X8,0.148,
A,9,Sample X9,0.146,
A,10,Sample X10,0.147,
A,11,Sample X11,0.144,
A,12,Sample X12,0.148,
B,1,Sample X13,0.158,
B,2,Sample X14,1.389,
B,3,Sample X15,1.377,
B,4,Sample X16,1.352,
B,5,Sample X17,1.315,
B,6,Sample X18,1.344,
B,7,Sample X19,1.375,
B,8,Sample X20,1.365,
B,9,Sample X21,1.349,
B,10,Sample X22,1.31,
B,11,Sample X23,1.317,
B,12,Sample X24,0.144,
C,1,Sample X25,0.157,
C,2,Sample X26,1.32,
C,3,Sample X27,1.289,
C,4,Sample X28,1.288,
C,5,Sample X29,1.331,
C,6,Sample X30,1.374,
C,7,Sample X31,1.302,
C,8,Sample X32,1.342,
C,9,Sample X33,1.331,
C,10,Sample X34,1.397,
C,11,Sample X35,1.355,
C,12,Sample X36,0.154,
D,1,Sample X37,0.16,
D,2,Sample X38,1.34,
D,3,Sample X39,1.347,
D,4,Sample X40,1.313,
D,5,Sample X41,1.294,
D,6,Sample X42,1.345,
D,7,Sample X43,1.362,
D,8,Sample X44,1.336,
D,9,Sample X45,1.337,
D,10,Sample X46,1.31,
D,11,Sample X47,1.379,
D,12,Sample X48,0.15,
E,1,Sample X49,0.158,
E,2,Sample X50,1.36,
E,3,Sample X51,1.347,
E,4,Sample X52,1.356,
E,5,Sample X53,1.308,
E,6,Sample X54,1.357,
E,7,Sample X55,1.314,
E,8,Sample X56,1.364,
E,9,Sample X57,1.351,
E,10,Sample X58,1.359,
E,11,Sample X59,1.381,
E,12,Sample X60,0.152,
F,1,Sample X61,0.169,
F,2,Sample X62,1.394,
F,3,Sample X63,1.371,
F,4,Sample X64,1.354,
F,5,Sample X65,1.348,
F,6,Sample X66,1.373,
F,7,Sample X67,1.321,
F,8,Sample X68,1.359,
F,9,Sample X69,1.382,
F,10,Sample X70,1.365,
F,11,Sample X71,1.344,
F,12,Sample X72,0.168,
G,1,Sample X73,0.172,
G,2,Sample X74,1.341,
G,3,Sample X75,1.368,
G,4,Sample X76,1.384,
G,5,Sample X77,1.339,
G,6,Sample X78,1.358,
G,7,Sample X79,1.394,
G,8,Sample X80,1.365,
G,9,Sample X81,1.4,
G,10,Sample X82,1.421,
G,11,Sample X83,1.405,
G,12,Sample X84,0.168,
H,1,Sample X85,0.172,
H,2,Sample X86,0.168,
H,3,Sample X87,0.167,
H,4,Sample X88,0.168,
H,5,Sample X89,0.166,
H,6,Sample X90,0.169,
H,7,Sample X91,0.169,
H,8,Sample X92,0.168,
H,9,Sample X93,0.167,
H,10,Sample X94,0.164,
H,11,Sample X95,0.169,
H,12,Sample X96,0.175,
