Well Row,Well Col,Content,Raw Data (600),
A,1,Sample X1,0.152,
A,2,Sample X2,0.151,
A,3,Sample X3,0.15,
A,4,Sample X4,0.157,
A,5,Sample X5,0.154,
A,6,Sample X6,0.153,
A,7,Sample X7,0.149,
A,8,Sample X8,0.151,
A,9,Sample X9,0.157,
A,10,Sample X10,0.153,
A,11,Sample X11,0.151,
A,12,Sample X12,0.153,
B,1,Sample X13,0.159,
B,2,Sample X14,1.334,
B,3,Sample X15,1.286,
B,4,Sample X16,1.27,
B,5,Sample X17,1.278,
B,6,Sample X18,1.272,
B,7,Sample X19,1.281,
B,8,Sample X20,1.287,
B,9,Sample X21,1.287,
B,10,Sample X22,1.273,
B,11,Sample X23,1.327,
B,12,Sample X24,0.156,
C,1,Sample X25,0.168,
C,2,Sample X26,1.275,
C,3,Sample X27,1.273,
C,4,Sample X28,1.304,
C,5,Sample X29,1.285,
C,6,Sample X30,1.306,
C,7,Sample X31,1.3,
C,8,Sample X32,1.317,
C,9,Sample X33,1.296,
C,10,Sample X34,1.282,
C,11,Sample X35,1.317,
C,12,Sample X36,0.169,
D,1,Sample X37,0.18,
D,2,Sample X38,1.296,
D,3,Sample X39,1.289,
D,4,Sample X40,1.313,
D,5,Sample X41,1.296,
D,6,Sample X42,1.284,
D,7,Sample X43,1.293,
D,8,Sample X44,1.319,
D,9,Sample X45,1.271,
D,10,Sample X46,1.291,
D,11,Sample X47,1.324,
D,12,Sample X48,0.172,
E,1,Sample X49,0.17,
E,2,Sample X50,1.309,
E,3,Sample X51,1.264,
E,4,Sample X52,1.289,
E,5,Sample X53,1.278,
E,6,Sample X54,1.25,
E,7,Sample X55,1.319,
E,8,Sample X56,1.269,
E,9,Sample X57,1.284,
E,10,Sample X58,1.313,
E,11,Sample X59,1.309,
E,12,Sample X60,0.169,
F,1,Sample X61,0.18,
F,2,Sample X62,1.27,
F,3,Sample X63,1.295,
F,4,Sample X64,1.263,
F,5,Sample X65,1.289,
F,6,Sample X66,1.283,
F,7,Sample X67,1.269,
F,8,Sample X68,1.287,
F,9,Sample X69,1.287,
F,10,Sample X70,1.302,
F,11,Sample X71,1.304,
F,12,Sample X72,0.182,
G,1,Sample X73,0.184,
G,2,Sample X74,1.326,
G,3,Sample X75,1.322,
G,4,Sample X76,1.377,
G,5,Sample X77,1.318,
G,6,Sample X78,1.269,
G,7,Sample X79,1.286,
G,8,Sample X80,1.315,
G,9,Sample X81,1.297,
G,10,Sample X82,1.324,
G,11,Sample X83,1.317,
G,12,Sample X84,0.188,
H,1,Sample X85,0.19,
H,2,Sample X86,0.181,
H,3,Sample X87,0.174,
H,4,Sample X88,0.178,
H,5,Sample X89,0.177,
H,6,Sample X90,0.178,
H,7,Sample X91,0.182,
H,8,Sample X92,0.184,
H,9,Sample X93,0.182,
H,10,Sample X94,0.181,
H,11,Sample X95,0.185,
H,12,Sample X96,0.19,
