antibiotic,day,parameter,value
rifampicin,2,r2_error_U_B,0.364383
rifampicin,2,r2_error_U_D,0.134708
rifampicin,2,r2_error_U_S,0.296177
rifampicin,2,rA1,1.05692
rifampicin,2,rA2,0.11622
rifampicin,2,rB1,1.09388
rifampicin,2,rB2,0.333938
rifampicin,2,rD1,0.86586
rifampicin,2,rD2,0.124027
rifampicin,2,rS1,1.10515
rifampicin,2,rS2,0.263604
rifampicin,3,k1_error_L_A,0.364372
rifampicin,3,k1_error_L_B,-0.582004
rifampicin,3,k1_error_L_D,0.37229
rifampicin,3,k1_error_L_S,0.148163
rifampicin,3,k1_error_U_A,0.383749
rifampicin,3,k1_error_U_B,0.983094
rifampicin,3,k1_error_U_D,0.409038
rifampicin,3,k1_error_U_S,0.224295
rifampicin,3,k2_error_L_A,0.956242
rifampicin,3,k2_error_L_B,0.250009
rifampicin,3,k2_error_L_D,0.843925
rifampicin,3,k2_error_L_S,0.256322
rifampicin,3,k2_error_U_A,1.04445
rifampicin,3,k2_error_U_B,0.261887
rifampicin,3,k2_error_U_D,0.916339
rifampicin,3,k2_error_U_S,0.266194
rifampicin,3,kA1,0.374061
rifampicin,3,kA2,1.00034
rifampicin,3,kB1,0.200545
rifampicin,3,kB2,0.255948
rifampicin,3,kD1,0.390664
rifampicin,3,kD2,0.880132
rifampicin,3,kS1,0.186229
rifampicin,3,kS2,0.261258
rifampicin,3,n0A,0.367727
rifampicin,3,n0B,0.103819
rifampicin,3,n0D,0.373146
rifampicin,3,n0S,0.167604
rifampicin,3,r1_error_L_A,0.908454
rifampicin,3,r1_error_L_B,-0.460131
rifampicin,3,r1_error_L_D,0.817803
rifampicin,3,r1_error_L_S,0.679888
rifampicin,3,r1_error_U_A,1.05601
rifampicin,3,r1_error_U_B,2.58683
rifampicin,3,r1_error_U_D,0.983535
rifampicin,3,r1_error_U_S,1.21771
rifampicin,3,r2_error_L_A,0.108091
rifampicin,3,r2_error_L_B,0.363948
rifampicin,3,r2_error_L_D,0.106824
rifampicin,3,r2_error_L_S,0.274472
rifampicin,3,r2_error_U_A,0.125572
rifampicin,3,r2_error_U_B,0.601261
rifampicin,3,r2_error_U_D,0.127191
rifampicin,3,r2_error_U_S,0.456994
rifampicin,3,rA1,0.982233
rifampicin,3,rA2,0.116832
rifampicin,3,rB1,1.06335
rifampicin,3,rB2,0.482605
rifampicin,3,rD1,0.900669
rifampicin,3,rD2,0.117007
rifampicin,3,rS1,0.948798
rifampicin,3,rS2,0.365733
rifampicin,4,k1_error_L_A,0.381806
rifampicin,4,k1_error_L_B,0.0386843
rifampicin,4,k1_error_L_D,0.391056
rifampicin,4,k1_error_L_S,0.0256073
rifampicin,4,k1_error_U_A,0.399356
rifampicin,4,k1_error_U_B,0.0420364
rifampicin,4,k1_error_U_D,0.405647
rifampicin,4,k1_error_U_S,0.0278844
rifampicin,4,k2_error_L_A,0.935498
rifampicin,4,k2_error_L_B,0.232431
rifampicin,4,k2_error_L_D,0.849434
rifampicin,4,k2_error_L_S,0.267963
rifampicin,4,k2_error_U_A,1.04459
rifampicin,4,k2_error_U_B,0.266443
rifampicin,4,k2_error_U_D,0.919237
rifampicin,4,k2_error_U_S,0.287825
rifampicin,4,kA1,0.390581
rifampicin,4,kA2,0.990046
rifampicin,4,kB1,0.0403604
rifampicin,4,kB2,0.249437
rifampicin,4,kD1,0.398351
rifampicin,4,kD2,0.884335
rifampicin,4,kS1,0.0267459
rifampicin,4,kS2,0.277894
rifampicin,4,n0A,0.386064
rifampicin,4,n0B,0.0403545
rifampicin,4,n0D,0.393056
rifampicin,4,n0S,0.0267403
rifampicin,4,r1_error_L_A,0.87235
rifampicin,4,r1_error_L_B,0.565899
rifampicin,4,r1_error_L_D,0.870174
rifampicin,4,r1_error_L_S,0.629205
rifampicin,4,r1_error_U_A,1.00301
rifampicin,4,r1_error_U_B,1.04865
rifampicin,4,r1_error_U_D,0.973499
rifampicin,4,r1_error_U_S,1.05235
rifampicin,4,r2_error_L_A,0.101763
rifampicin,4,r2_error_L_B,0.369878
rifampicin,4,r2_error_L_D,0.106564
rifampicin,4,r2_error_L_S,0.385027
rifampicin,4,r2_error_U_A,0.122637
rifampicin,4,r2_error_U_B,0.452602
rifampicin,4,r2_error_U_D,0.126416
rifampicin,4,r2_error_U_S,0.422141
rifampicin,4,rA1,0.937679
rifampicin,4,rA2,0.1122
rifampicin,4,rB1,0.807273
rifampicin,4,rB2,0.41124
rifampicin,4,rD1,0.921836
rifampicin,4,rD2,0.11649
rifampicin,4,rS1,0.840779
rifampicin,4,rS2,0.403584
rifampicin,5,k1_error_L_A,0.365238
rifampicin,5,k1_error_L_B,-3.34693
rifampicin,5,k1_error_L_D,0.390631
rifampicin,5,k1_error_L_S,-0.358341
rifampicin,5,k1_error_U_A,0.38014
rifampicin,5,k1_error_U_B,3.54526
rifampicin,5,k1_error_U_D,0.404083
rifampicin,5,k1_error_U_S,0.556146
rifampicin,5,k2_error_L_A,0.80377
rifampicin,5,k2_error_L_B,0.0443129
rifampicin,5,k2_error_L_D,0.873475
rifampicin,5,k2_error_L_S,0.00170374
rifampicin,5,k2_error_U_A,0.893467
rifampicin,5,k2_error_U_B,0.0468451
rifampicin,5,k2_error_U_D,0.971131
rifampicin,5,k2_error_U_S,0.0219272
rifampicin,5,kA1,0.372689
rifampicin,5,kA2,0.848618
rifampicin,5,kB1,0.0991653
rifampicin,5,kB2,0.045579
rifampicin,5,kD1,0.397357
rifampicin,5,kD2,0.922303
rifampicin,5,kS1,0.0989027
rifampicin,5,kS2,0.0118155
rifampicin,5,n0A,0.367347
rifampicin,5,n0B,0.00895183
rifampicin,5,n0D,0.391087
rifampicin,5,n0S,0.0192523
rifampicin,5,r1_error_L_A,0.867823
rifampicin,5,r1_error_L_B,-0.101433
rifampicin,5,r1_error_L_D,0.887667
rifampicin,5,r1_error_L_S,0.0944362
rifampicin,5,r1_error_U_A,0.974776
rifampicin,5,r1_error_U_B,0.268264
rifampicin,5,r1_error_U_D,0.986718
rifampicin,5,r1_error_U_S,0.291361
rifampicin,5,r2_error_L_A,0.0998097
rifampicin,5,r2_error_L_B,0.367234
rifampicin,5,r2_error_L_D,0.0910087
rifampicin,5,r2_error_L_S,-0.632342
rifampicin,5,r2_error_U_A,0.121637
rifampicin,5,r2_error_U_B,0.441728
rifampicin,5,r2_error_U_D,0.11023
rifampicin,5,r2_error_U_S,1.04908
rifampicin,5,rA1,0.9213
rifampicin,5,rA2,0.110723
rifampicin,5,rB1,0.0834154
rifampicin,5,rB2,0.404481
rifampicin,5,rD1,0.937193
rifampicin,5,rD2,0.100619
rifampicin,5,rS1,0.192899
rifampicin,5,rS2,0.208367
rifampicin,6,k1_error_L_A,0.333551
rifampicin,6,k1_error_L_B,0.00933375
rifampicin,6,k1_error_L_D,0.385351
rifampicin,6,k1_error_L_S,-0.202669
rifampicin,6,k1_error_U_A,0.357033
rifampicin,6,k1_error_U_B,0.0134106
rifampicin,6,k1_error_U_D,0.400349
rifampicin,6,k1_error_U_S,0.211208
rifampicin,6,k2_error_L_A,0.735433
rifampicin,6,k2_error_L_B,-0.415413
rifampicin,6,k2_error_L_D,0.852771
rifampicin,6,k2_error_L_S,-0.0241845
rifampicin,6,k2_error_U_A,0.840184
rifampicin,6,k2_error_U_B,0.873755
rifampicin,6,k2_error_U_D,0.920469
rifampicin,6,k2_error_U_S,0.0494614
rifampicin,6,kA1,0.345292
rifampicin,6,kA2,0.787809
rifampicin,6,kB1,0.0113722
rifampicin,6,kB2,0.229171
rifampicin,6,kD1,0.39285
rifampicin,6,kD2,0.88662
rifampicin,6,kS1,0.00426952
rifampicin,6,kS2,0.0126384
rifampicin,6,n0A,0.336533
rifampicin,6,n0B,0.0106933
rifampicin,6,n0D,0.384623
rifampicin,6,n0S,0.00222707
rifampicin,6,r1_error_L_A,0.843374
rifampicin,6,r1_error_L_B,0.118779
rifampicin,6,r1_error_L_D,0.900086
rifampicin,6,r1_error_L_S,-13.0589
rifampicin,6,r1_error_U_A,1.00377
rifampicin,6,r1_error_U_B,0.308815
rifampicin,6,r1_error_U_D,1.0004
rifampicin,6,r1_error_U_S,13.805
rifampicin,6,r2_error_L_A,0.0907517
rifampicin,6,r2_error_L_B,0.125787
rifampicin,6,r2_error_L_D,0.0985497
rifampicin,6,r2_error_L_S,-0.0612705
rifampicin,6,r2_error_U_A,0.116777
rifampicin,6,r2_error_U_B,0.263592
rifampicin,6,r2_error_U_D,0.114857
rifampicin,6,r2_error_U_S,0.218003
rifampicin,6,rA1,0.923569
rifampicin,6,rA2,0.103764
rifampicin,6,rB1,0.213797
rifampicin,6,rB2,0.19469
rifampicin,6,rD1,0.950243
rifampicin,6,rD2,0.106703
rifampicin,6,rS1,0.373088
rifampicin,6,rS2,0.0783664
