antibiotic,day,strain,parameter,mean,lower,upper
rifampicin,5,A,k1,0.372689,0.365238,0.38014
rifampicin,5,A,k2,0.848618,0.80377,0.893467
rifampicin,5,A,r1,0.9213,0.867823,0.974776
rifampicin,5,A,r2,0.110723,0.0998097,0.121637
rifampicin,5,B,k1,0.0991653,-3.34693,3.54526
rifampicin,5,B,k2,0.045579,0.0443129,0.0468451
rifampicin,5,B,r1,0.0834154,-0.101433,0.268264
rifampicin,5,B,r2,0.404481,0.367234,0.441728
rifampicin,5,D,k1,0.397357,0.390631,0.404083
rifampicin,5,D,k2,0.922303,0.873475,0.971131
rifampicin,5,D,r1,0.937193,0.887667,0.986718
rifampicin,5,D,r2,0.100619,0.0910087,0.11023
rifampicin,6,S,k1,0.00426952,-0.202669,0.211208
rifampicin,6,S,k2,0.0126384,-0.0241845,0.0494614
rifampicin,6,S,r1,0.373088,-13.0589,13.805
rifampicin,6,S,r2,0.0783664,-0.0612705,0.218003
rifampicin,6,A,k1,0.345292,0.333551,0.357033
rifampicin,6,A,k2,0.787809,0.735433,0.840184
rifampicin,6,A,r1,0.923569,0.843374,1.00377
rifampicin,6,A,r2,0.103764,0.0907517,0.116777
rifampicin,6,B,k1,0.0113722,0.00933375,0.0134106
rifampicin,6,B,k2,0.229171,-0.415413,0.873755
rifampicin,6,B,r1,0.213797,0.118779,0.308815
rifampicin,6,B,r2,0.19469,0.125787,0.263592
rifampicin,6,D,k1,0.39285,0.385351,0.400349
rifampicin,6,D,k2,0.88662,0.852771,0.920469
rifampicin,6,D,r1,0.950243,0.900086,1.0004
rifampicin,6,D,r2,0.106703,0.0985497,0.114857
nalidixic acid,1,S,k1,0.399527,0.383304,0.415749
nalidixic acid,1,S,k2,0.937229,0.911376,0.963083
nalidixic acid,1,S,r1,1.04436,0.941211,1.1475
nalidixic acid,1,S,r2,0.143468,0.133053,0.153883
nalidixic acid,1,A,k1,0.402715,0.396009,0.409421
nalidixic acid,1,A,k2,0.959691,0.906798,1.01258
nalidixic acid,1,A,r1,1.0203,0.958142,1.08247
nalidixic acid,1,A,r2,0.11212,0.100763,0.123477
nalidixic acid,1,B,k1,0.387546,0.363194,0.411899
nalidixic acid,1,B,k2,0.973445,0.941213,1.00568
nalidixic acid,1,B,r1,1.0632,0.946036,1.18037
nalidixic acid,1,B,r2,0.124669,0.116449,0.13289
nalidixic acid,1,D,k1,0.376097,0.355572,0.396621
nalidixic acid,1,D,k2,0.829342,0.799092,0.859593
nalidixic acid,1,D,r1,0.958576,0.8674,1.04975
nalidixic acid,1,D,r2,0.115087,0.105853,0.124322
nalidixic acid,2,S,k1,0.362044,0.333989,0.390098
nalidixic acid,2,S,k2,0.894458,0.847102,0.941814
nalidixic acid,2,S,r1,0.691218,0.618228,0.764207
nalidixic acid,2,S,r2,0.110424,0.101091,0.119757
nalidixic acid,2,A,k1,0.346634,0.335833,0.357436
nalidixic acid,2,A,k2,0.852497,0.810298,0.894695
nalidixic acid,2,A,r1,0.925425,0.866163,0.984687
nalidixic acid,2,A,r2,0.100114,0.0923035,0.107925
nalidixic acid,2,B,k1,0.402417,0.378746,0.426087
nalidixic acid,2,B,k2,0.983478,0.952263,1.01469
nalidixic acid,2,B,r1,1.07299,0.958796,1.18719
nalidixic acid,2,B,r2,0.119817,0.111937,0.127697
nalidixic acid,2,D,k1,0.367056,0.347429,0.386683
nalidixic acid,2,D,k2,0.831784,0.807222,0.856346
nalidixic acid,2,D,r1,0.990516,0.900637,1.08039
nalidixic acid,2,D,r2,0.121795,0.113789,0.129802
nalidixic acid,3,S,k1,0.0999813,0.0484149,0.151548
nalidixic acid,3,S,k2,0.0418957,0.0330959,0.0506956
nalidixic acid,3,S,r1,2.20938,1.12842,3.29033
nalidixic acid,3,S,r2,0.252918,0.0126367,0.493199
nalidixic acid,3,A,k1,0.0831306,0.070982,0.0952792
nalidixic acid,3,A,k2,0.778597,0.675013,0.882181
nalidixic acid,3,A,r1,1.72227,0.760892,2.68365
nalidixic acid,3,A,r2,0.123658,0.112661,0.134655
nalidixic acid,3,B,k1,0.398977,0.379906,0.418048
nalidixic acid,3,B,k2,0.992572,0.952863,1.03228
nalidixic acid,3,B,r1,1.05335,0.954637,1.15206
nalidixic acid,3,B,r2,0.110569,0.102519,0.118619
nalidixic acid,3,D,k1,0.388202,0.365387,0.411016
nalidixic acid,3,D,k2,0.87094,0.828349,0.913532
nalidixic acid,3,D,r1,0.909677,0.818739,1.00061
nalidixic acid,3,D,r2,0.104766,0.0948216,0.11471
nalidixic acid,4,S,k1,0.0973721,0.0822724,0.112472
nalidixic acid,4,S,k2,0.0125114,0.00782372,0.0171991
nalidixic acid,4,S,r1,1.91839,1.42292,2.41385
nalidixic acid,4,S,r2,0.0608817,0.0259526,0.0958107
nalidixic acid,4,A,k1,0.0959324,0.089554,0.102311
nalidixic acid,4,A,k2,0.0300331,0.0219304,0.0381358
nalidixic acid,4,A,r1,1.59063,1.27281,1.90844
nalidixic acid,4,A,r2,0.0513777,0.0222046,0.0805508
nalidixic acid,4,B,k1,0.430679,0.412328,0.44903
nalidixic acid,4,B,k2,1.07145,1.02224,1.12065
nalidixic acid,4,B,r1,1.0266,0.939983,1.11322
nalidixic acid,4,B,r2,0.0964704,0.089162,0.103779
nalidixic acid,4,D,k1,0.393713,0.37583,0.411595
nalidixic acid,4,D,k2,0.896599,0.86723,0.925968
nalidixic acid,4,D,r1,1.03515,0.955295,1.11501
nalidixic acid,4,D,r2,0.103146,0.0965668,0.109725
nalidixic acid,5,S,k1,0.0644205,0.0548353,0.0740058
nalidixic acid,5,S,k2,0.0118991,0.0104277,0.0133705
nalidixic acid,5,S,r1,1.40133,1.02513,1.77753
nalidixic acid,5,S,r2,0.0582447,0.0414317,0.0750577
nalidixic acid,5,A,k1,0.077944,0.0656647,0.0902233
nalidixic acid,5,A,k2,0.016135,0.0131276,0.0191423
nalidixic acid,5,A,r1,1.51271,1.10563,1.91979
nalidixic acid,5,A,r2,0.0323022,0.0209175,0.0436869
nalidixic acid,5,B,k1,0.453037,0.416872,0.489201
nalidixic acid,5,B,k2,1.11412,1.04341,1.18483
nalidixic acid,5,B,r1,1.01428,0.901907,1.12666
nalidixic acid,5,B,r2,0.0887895,0.080703,0.096876
nalidixic acid,5,D,k1,0.404768,0.396991,0.412545
nalidixic acid,5,D,k2,0.878548,0.841791,0.915304
nalidixic acid,5,D,r1,1.04314,0.985884,1.1004
nalidixic acid,5,D,r2,0.103496,0.0946916,0.112301
nalidixic acid,6,S,k1,0.0344971,0.0275027,0.0414915
nalidixic acid,6,S,k2,0.00528154,0.00290276,0.00766032
nalidixic acid,6,S,r1,1.52561,0.949453,2.10176
nalidixic acid,6,S,r2,0.0199761,0.00635102,0.0336012
nalidixic acid,6,A,k1,0.0390978,0.0343543,0.0438412
nalidixic acid,6,A,k2,0.00509696,0.000879018,0.00931491
nalidixic acid,6,A,r1,1.21941,0.866346,1.57247
nalidixic acid,6,A,r2,0.0108681,-0.00108884,0.0228251
nalidixic acid,6,B,k1,0.438773,0.417071,0.460476
nalidixic acid,6,B,k2,1.18826,1.09501,1.28151
nalidixic acid,6,B,r1,1.07561,0.993778,1.15744
nalidixic acid,6,B,r2,0.068764,0.0628988,0.0746291
nalidixic acid,6,D,k1,0.389642,0.358192,0.421091
nalidixic acid,6,D,k2,0.919682,0.838704,1.00066
nalidixic acid,6,D,r1,0.972589,0.858368,1.08681
nalidixic acid,6,D,r2,0.0850561,0.0741997,0.0959125
combination,1,S,k1,0.364842,0.326247,0.403436
combination,1,S,k2,0.709612,0.697831,0.721393
combination,1,S,r1,1.0871,0.911901,1.26231
combination,1,S,r2,0.199946,0.184278,0.215614
combination,1,A,k1,0.39907,0.389271,0.408868
combination,1,A,k2,0.914482,0.873667,0.955298
combination,1,A,r1,0.991571,0.918248,1.06489
combination,1,A,r2,0.110596,0.100376,0.120816
combination,1,B,k1,0.374991,0.348689,0.401292
combination,1,B,k2,0.698327,0.689166,0.707488
combination,1,B,r1,1.13964,1.00316,1.27612
combination,1,B,r2,0.189711,0.176919,0.202503
combination,1,D,k1,0.378862,0.340798,0.416926
combination,1,D,k2,0.851363,0.824678,0.878047
combination,1,D,r1,1.03182,0.897207,1.16643
combination,1,D,r2,0.123548,0.114849,0.132247
combination,2,S,k1,0.291848,0.250765,0.332931
combination,2,S,k2,0.313283,0.310995,0.315571
combination,2,S,r1,0.701303,0.619094,0.783513
combination,2,S,r2,0.426269,0.366004,0.486534
combination,2,A,k1,0.300167,0.282806,0.317528
combination,2,A,k2,0.791189,0.742667,0.83971
combination,2,A,r1,0.75898,0.692602,0.825358
combination,2,A,r2,0.0990149,0.0908386,0.107191
combination,2,B,k1,0.336533,0.31836,0.354706
combination,2,B,k2,0.456723,0.453531,0.459914
combination,2,B,r1,1.0619,0.96357,1.16023
combination,2,B,r2,0.317303,0.283422,0.351184
combination,2,D,k1,0.365759,0.352049,0.37947
combination,2,D,k2,0.819325,0.795091,0.843558
combination,2,D,r1,0.981117,0.903979,1.05825
combination,2,D,r2,0.119622,0.111363,0.127882
combination,3,S,k1,0.0346329,0.0303119,0.0389539
combination,3,S,k2,0.0170858,0.0152474,0.0189242
combination,3,S,r1,0.43237,0.325466,0.539274
combination,3,S,r2,0.133826,0.063504,0.204147
combination,3,A,k1,0.05,0.05,0.05
combination,3,A,k2,0.359507,-0.33125,1.05026
combination,3,A,r1,0.952536,0.829328,1.07574
combination,3,A,r2,0.231384,0.0559856,0.406783
combination,3,B,k1,0.203518,0.194668,0.212368
combination,3,B,k2,0.267444,0.258151,0.276736
combination,3,B,r1,0.890059,0.815001,0.965118
combination,3,B,r2,0.208068,0.152758,0.263379
combination,3,D,k1,0.381847,0.354825,0.408869
combination,3,D,k2,0.883465,0.848314,0.918615
combination,3,D,r1,0.949267,0.856031,1.0425
combination,3,D,r2,0.103237,0.0957715,0.110703
combination,4,S,k1,0.0145703,0.012314,0.0168266
combination,4,S,k2,0.00536607,0.00094828,0.00978387
combination,4,S,r1,0.199047,0.116787,0.281308
combination,4,S,r2,0.0476244,-0.0435224,0.138771
combination,4,A,k1,0.0616114,0.0553779,0.067845
combination,4,A,k2,0.0194155,0.0186369,0.020194
combination,4,A,r1,1.50167,1.20069,1.80265
combination,4,A,r2,0.103079,0.0863437,0.119814
combination,4,B,k1,0.130177,-0.387264,0.647617
combination,4,B,k2,0.0129909,-0.152955,0.178936
combination,4,B,r1,0.306622,0.14554,0.467704
combination,4,B,r2,0.0252426,-0.651381,0.701866
combination,4,D,k1,0.384839,0.369513,0.400164
combination,4,D,k2,0.875531,0.830282,0.920781
combination,4,D,r1,0.917015,0.844671,0.989359
combination,4,D,r2,0.105881,0.0957699,0.115992
combination,5,S,k1,0.00370989,-0.0135426,0.0209624
combination,5,S,k2,0.00211342,-0.00473181,0.00895866
combination,5,S,r1,0.10468,-4.47869,4.68805
combination,5,S,r2,0.0415223,-0.433756,0.516801
combination,5,A,k1,0.0306708,0.024684,0.0366577
combination,5,A,k2,0.00780248,0.00656333,0.00904162
combination,5,A,r1,1.58623,0.986475,2.18599
combination,5,A,r2,0.0520849,0.031078,0.0730918
combination,5,B,k1,0.0521153,0.0173527,0.0868779
combination,5,B,k2,0.010491,-0.00640982,0.0273918
combination,5,B,r1,0.201779,0.157717,0.245842
combination,5,B,r2,0.0378595,-0.092317,0.168036
combination,5,D,k1,0.365874,0.342611,0.389137
combination,5,D,k2,0.875381,0.830554,0.920209
combination,5,D,r1,0.968774,0.870883,1.06666
combination,5,D,r2,0.101424,0.0926581,0.110191
combination,6,S,k1,0.0149066,-0.199068,0.228881
combination,6,S,k2,0.00169769,0.000193524,0.00320186
combination,6,S,r1,0.203031,-0.33425,0.740311
combination,6,S,r2,0.0482979,-0.0871078,0.183704
combination,6,A,k1,0.0152352,0.0106716,0.0197987
combination,6,A,k2,0.0127565,-0.00478253,0.0302954
combination,6,A,r1,1.29138,0.755911,1.82686
combination,6,A,r2,0.0282379,-0.578209,0.634685
combination,6,B,k1,0.0254585,-0.593188,0.644105
combination,6,B,k2,0.0267682,-0.0104519,0.0639883
combination,6,B,r1,0.082978,-0.265718,0.431674
combination,6,B,r2,0.0946576,0.0250499,0.164265
combination,6,D,k1,0.348358,0.32648,0.370236
combination,6,D,k2,0.842369,0.778591,0.906147
combination,6,D,r1,0.950778,0.86033,1.04123
combination,6,D,r2,0.0845605,0.0755727,0.0935482
