expt,volume,day,pmutS,medium,wells
twodrug,1,6,0,nal+rif,0
twodrug,1,6,10,MH,B6;B7;C7;D4;E2;F2;F6;G4;G6;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,6,10,nal,B6;B7;C7;D4;E2;F2;F6;G4;G6;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,6,10,rif,B6;B7;C7;D4;E2;F2;F6;G4;H4;H5;I2;I4;J5;K2;K5;K6
twodrug,1,6,10,nal+rif,B7;C7;D4;E2;F2;F6;G4;H4;I2;I4;J5;K2;K5;K6
twodrug,1,6,25,MH,B4;B5;B6;C2;C3;C5;C7;D2;E2;F6;G2;G3;G4;G5;I7;J3;J4;K3;K5
twodrug,1,6,25,nal,B4;B5;B6;B7;C2;C5;C7;D2;E2;F6;G2;G3;G4;G5;I7;J3;J4;K3;K5
twodrug,1,6,25,rif,B4;B5;B6;B7;C2;C5;C7;D2;E2;F6;G2;G3;G4;I7;J3;J4;K3;K5
twodrug,1,6,25,nal+rif,B4;B5;B6;C2;C5;C7;D2;E2;F6;G2;G3;G4;I7;J3;J4;K3;K5
twodrug,1,6,50,MH,-D3;E4;E5;F5;G3;I7;K5
twodrug,1,6,50,nal,B2;B3;B4;B5;B6;B7;C2;C3;C4;C5;C6;D2;D4;D5;D6;D7;E2;E4;E6;E7;F2;F4;F6;G2;G4;G7;H2;H3;H4;H7;I2;I3;I4;I5;I6;J2;J3;J4;J5;J7;K3;K7
twodrug,1,6,50,rif,-C7;D3;E4;E5;F3;F5;G3;G5;I7;J4;K4;K5;K6
twodrug,1,6,50,nal+rif,B2;B3;B5;B6;B7;C2;C3;C6;C7;D2;D4;D5;D6;D7;E3;E6;E7;F2;F4;F6;G2;G4;G7;H2;H4;H7;I2;I3;I4;I5;I6;J2;J3;J5;J7;K3;K7
