Well Row,Well Col,Content, 1 - 1, 1 - 2, 1 - 3, 1 - 4, 1 - 5, 1 - 6, 1 - 7, 1 - 8, 1 - 9, 1 - 10, 1 - 11, 1 - 12, 1 - 13, 1 - 14, 1 - 15, 1 - 16, 1 - 17, 1 - 18, 1 - 19, 1 - 20, 1 - 21, 1 - 22, 1 - 23, 1 - 24, 1 - 25, 1 - 26, 1 - 27, 1 - 28, 1 - 29, 1 - 30, 1 - 31, 1 - 32, 1 - 33, 1 - 34, 1 - 35, 1 - 36, 1 - 37, 1 - 38, 1 - 39, 1 - 40, 1 - 41, 1 - 42, 1 - 43, 1 - 44, 1 - 45, 1 - 46, 1 - 47, 1 - 48, 1 - 49, 1 - 50, 1 - 51, 1 - 52, 1 - 53, 1 - 54, 1 - 55,
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,10 h ,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
D,11,Sample X47,0.082,0.09,0.125,0.151,0.19,0.222,0.251,0.271,0.297,0.319,0.326,0.349,0.355,0.361,0.374,0.385,0.397,0.409,0.423,0.44,0.444,0.461,0.465,0.479,0.492,0.508,0.521,0.53,0.55,0.563,0.577,0.594,0.609,0.621,0.63,0.649,0.669,0.678,0.694,0.703,0.715,0.728,0.742,0.754,0.758,0.766,0.775,0.789,0.785,0.803,0.807,0.813,0.824,0.834,0.839,
D,12,Sample X48,0.037,0.038,0.039,0.039,0.038,0.038,0.04,0.038,0.038,0.038,0.035,0.038,0.039,0.038,0.039,0.036,0.038,0.036,0.036,0.038,0.038,0.035,0.036,0.039,0.039,0.035,0.037,0.037,0.037,0.037,0.037,0.036,0.04,0.035,0.038,0.038,0.038,0.037,0.038,0.039,0.04,0.036,0.04,0.041,0.037,0.037,0.041,0.039,0.041,0.043,0.04,0.04,0.04,0.041,0.041,
E,1,Sample X49,0.042,0.042,0.044,0.043,0.043,0.042,0.042,0.042,0.043,0.044,0.04,0.045,0.043,0.043,0.044,0.042,0.043,0.044,0.041,0.044,0.043,0.04,0.039,0.043,0.042,0.04,0.044,0.043,0.043,0.04,0.043,0.042,0.043,0.039,0.043,0.043,0.043,0.043,0.044,0.044,0.046,0.043,0.046,0.049,0.045,0.046,0.049,0.05,0.049,0.049,0.048,0.048,0.046,0.05,0.051,
E,2,Sample X50,0.052,0.052,0.055,0.062,0.07,0.089,0.118,0.145,0.177,0.21,0.244,0.268,0.294,0.311,0.33,0.325,0.335,0.34,0.351,0.359,0.368,0.387,0.399,0.418,0.431,0.444,0.458,0.476,0.493,0.51,0.516,0.531,0.544,0.55,0.555,0.566,0.569,0.581,0.599,0.611,0.621,0.625,0.634,0.654,0.649,0.658,0.666,0.672,0.681,0.691,0.691,0.702,0.712,0.712,0.731,
E,3,Sample X51,0.08,0.087,0.116,0.138,0.185,0.257,0.323,0.372,0.417,0.435,0.44,0.452,0.464,0.482,0.507,0.524,0.544,0.564,0.569,0.589,0.601,0.62,0.635,0.653,0.668,0.683,0.708,0.722,0.731,0.755,0.778,0.781,0.802,0.817,0.829,0.854,0.859,0.883,0.896,0.903,0.917,0.933,0.961,0.969,0.981,0.983,0.998,1.006,1.011,1.016,1.031,1.04,1.034,1.035,1.04,
E,4,Sample X52,0.061,0.06,0.066,0.08,0.104,0.135,0.182,0.228,0.27,0.304,0.329,0.348,0.347,0.345,0.358,0.363,0.374,0.383,0.411,0.403,0.414,0.431,0.448,0.455,0.459,0.484,0.485,0.489,0.508,0.508,0.527,0.535,0.545,0.557,0.57,0.572,0.585,0.585,0.597,0.605,0.617,0.622,0.636,0.639,0.645,0.657,0.663,0.669,0.674,0.685,0.684,0.69,0.694,0.706,0.707,
E,5,Sample X53,0.163,0.183,0.237,0.281,0.336,0.384,0.437,0.472,0.483,0.497,0.516,0.531,0.542,0.562,0.578,0.61,0.633,0.657,0.68,0.707,0.732,0.759,0.784,0.82,0.846,0.878,0.903,0.926,0.956,0.98,1.012,1.018,1.04,1.051,1.07,1.083,1.096,1.098,1.107,1.127,1.133,1.129,1.15,1.143,1.136,1.15,1.161,1.151,1.163,1.168,1.157,1.16,1.156,1.155,1.166,
E,6,Sample X54,0.068,0.072,0.101,0.13,0.168,0.209,0.256,0.294,0.331,0.36,0.372,0.398,0.404,0.414,0.435,0.439,0.455,0.47,0.483,0.493,0.506,0.519,0.526,0.546,0.555,0.569,0.582,0.593,0.6,0.613,0.628,0.634,0.644,0.656,0.67,0.682,0.692,0.699,0.707,0.724,0.737,0.74,0.746,0.749,0.756,0.768,0.772,0.778,0.786,0.797,0.794,0.801,0.808,0.811,0.82,
E,7,Sample X55,0.07,0.071,0.086,0.115,0.15,0.189,0.237,0.278,0.313,0.348,0.365,0.396,0.408,0.417,0.434,0.438,0.452,0.466,0.481,0.502,0.499,0.521,0.535,0.549,0.563,0.562,0.58,0.592,0.608,0.612,0.624,0.626,0.639,0.647,0.661,0.673,0.684,0.688,0.697,0.71,0.722,0.72,0.737,0.744,0.749,0.756,0.771,0.776,0.781,0.791,0.794,0.803,0.805,0.816,0.828,
E,8,Sample X56,0.058,0.059,0.067,0.089,0.121,0.155,0.205,0.259,0.315,0.338,0.367,0.396,0.414,0.423,0.437,0.455,0.461,0.471,0.48,0.489,0.499,0.507,0.522,0.529,0.541,0.545,0.559,0.572,0.583,0.593,0.599,0.6,0.613,0.618,0.626,0.634,0.638,0.641,0.645,0.653,0.655,0.662,0.669,0.677,0.677,0.687,0.686,0.698,0.696,0.703,0.703,0.713,0.713,0.713,0.717,
