Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,11,Sample X11,0.034,0.032,0.028,0.032,0.026,0.028,0.031,0.025,0.027,0.029,0.031,0.029,0.029,0.029,0.03,0.03,0.027,0.031,0.031,0.028,0.029,0.03,0.029,0.03,0.028,0.031,0.029,0.027,0.027,0.031,0.03,0.03,0.028,0.03,0.03,0.03,0.028,0.028,0.03,0.028,0.031,0.032,0.031,0.031,0.029,0.031,0.033,0.033,0.033,0.033,0.032,0.032,0.032,0.034,0.03,
A,12,Sample X12,0.032,0.029,0.028,0.029,0.027,0.027,0.031,0.027,0.028,0.029,0.029,0.029,0.031,0.029,0.031,0.027,0.027,0.033,0.028,0.028,0.029,0.031,0.029,0.031,0.028,0.029,0.029,0.026,0.029,0.03,0.03,0.031,0.032,0.032,0.029,0.03,0.029,0.03,0.03,0.028,0.033,0.032,0.034,0.032,0.031,0.031,0.033,0.032,0.031,0.033,0.035,0.031,0.03,0.035,0.032,
B,1,Sample X13,0.03,0.029,0.028,0.028,0.025,0.026,0.028,0.026,0.027,0.028,0.027,0.029,0.028,0.027,0.026,0.026,0.028,0.031,0.027,0.026,0.028,0.028,0.026,0.029,0.026,0.029,0.026,0.025,0.027,0.029,0.028,0.028,0.028,0.029,0.026,0.029,0.027,0.025,0.026,0.026,0.029,0.028,0.027,0.028,0.027,0.027,0.027,0.03,0.028,0.03,0.029,0.028,0.031,0.031,0.027,
B,2,Sample X14,0.038,0.037,0.038,0.044,0.059,0.098,0.143,0.173,0.217,0.27,0.313,0.33,0.346,0.37,0.378,0.384,0.397,0.404,0.418,0.436,0.455,0.475,0.502,0.532,0.55,0.566,0.595,0.616,0.637,0.658,0.672,0.688,0.7,0.713,0.715,0.728,0.719,0.748,0.771,0.798,0.814,0.818,0.844,0.865,0.859,0.859,0.88,0.885,0.895,0.904,0.917,0.927,0.937,0.953,0.943,
B,3,Sample X15,0.038,0.036,0.037,0.042,0.048,0.065,0.092,0.111,0.154,0.209,0.25,0.285,0.301,0.327,0.341,0.348,0.354,0.355,0.356,0.361,0.362,0.376,0.382,0.398,0.406,0.408,0.423,0.436,0.455,0.471,0.483,0.493,0.511,0.526,0.532,0.544,0.541,0.56,0.565,0.58,0.606,0.614,0.624,0.636,0.644,0.648,0.658,0.667,0.667,0.677,0.684,0.694,0.702,0.712,0.707,
B,4,Sample X16,0.049,0.054,0.061,0.102,0.124,0.146,0.182,0.206,0.24,0.267,0.298,0.312,0.319,0.335,0.343,0.357,0.377,0.393,0.407,0.415,0.442,0.458,0.471,0.501,0.496,0.517,0.529,0.543,0.561,0.564,0.587,0.606,0.619,0.629,0.64,0.653,0.666,0.686,0.705,0.706,0.735,0.743,0.76,0.773,0.78,0.796,0.809,0.826,0.835,0.845,0.857,0.868,0.874,0.894,0.892,
B,5,Sample X17,0.043,0.041,0.044,0.05,0.058,0.07,0.092,0.121,0.142,0.174,0.215,0.259,0.308,0.351,0.389,0.41,0.414,0.422,0.416,0.421,0.43,0.449,0.46,0.463,0.479,0.494,0.51,0.517,0.528,0.527,0.56,0.576,0.593,0.596,0.606,0.617,0.619,0.638,0.649,0.664,0.676,0.69,0.702,0.704,0.721,0.716,0.727,0.733,0.743,0.752,0.762,0.767,0.773,0.792,0.784,
B,6,Sample X18,0.042,0.041,0.048,0.059,0.085,0.117,0.153,0.193,0.241,0.291,0.337,0.379,0.399,0.417,0.432,0.443,0.459,0.476,0.482,0.5,0.513,0.535,0.553,0.572,0.584,0.615,0.627,0.64,0.655,0.681,0.698,0.717,0.735,0.75,0.767,0.784,0.796,0.816,0.86,0.867,0.893,0.905,0.926,0.956,0.963,0.975,0.996,1.007,1.025,1.03,1.046,1.053,1.061,1.083,1.073,
B,7,Sample X19,0.044,0.043,0.047,0.051,0.057,0.07,0.083,0.1,0.131,0.181,0.244,0.294,0.357,0.391,0.413,0.413,0.41,0.427,0.432,0.448,0.458,0.465,0.48,0.498,0.508,0.52,0.537,0.551,0.56,0.575,0.592,0.61,0.626,0.635,0.646,0.658,0.662,0.688,0.695,0.713,0.728,0.736,0.756,0.768,0.778,0.77,0.795,0.795,0.808,0.821,0.832,0.835,0.842,0.86,0.844,
B,8,Sample X20,0.044,0.043,0.048,0.063,0.09,0.123,0.164,0.207,0.241,0.282,0.317,0.342,0.352,0.367,0.391,0.402,0.424,0.438,0.443,0.46,0.478,0.485,0.503,0.519,0.528,0.551,0.567,0.58,0.586,0.604,0.63,0.641,0.66,0.672,0.686,0.709,0.715,0.732,0.761,0.773,0.794,0.811,0.827,0.842,0.864,0.875,0.901,0.92,0.931,0.948,0.973,0.976,0.983,1.005,1,
B,9,Sample X21,0.042,0.041,0.046,0.06,0.084,0.118,0.145,0.18,0.218,0.25,0.283,0.316,0.338,0.359,0.375,0.384,0.395,0.406,0.41,0.422,0.443,0.447,0.471,0.488,0.501,0.524,0.548,0.559,0.577,0.576,0.613,0.628,0.643,0.657,0.674,0.688,0.695,0.709,0.722,0.748,0.761,0.779,0.79,0.805,0.809,0.823,0.851,0.862,0.872,0.889,0.914,0.913,0.931,0.955,0.954,
B,10,Sample X22,0.237,0.189,0.284,0.289,0.431,0.503,0.467,0.638,0.556,0.596,0.624,0.641,0.651,0.675,0.691,0.707,0.731,0.735,0.791,0.818,0.781,0.791,0.855,0.814,0.832,0.854,0.867,0.871,0.888,0.905,0.925,0.941,0.961,0.982,1.001,1.013,1.036,1.059,1.084,1.127,1.117,1.142,1.159,1.179,1.225,1.214,1.237,1.249,1.264,1.272,1.283,1.289,1.296,1.32,1.297,
B,11,Sample X23,0.04,0.038,0.042,0.051,0.06,0.078,0.106,0.13,0.154,0.19,0.221,0.263,0.29,0.321,0.343,0.359,0.376,0.389,0.408,0.429,0.438,0.447,0.464,0.463,0.472,0.488,0.502,0.508,0.511,0.541,0.562,0.582,0.599,0.604,0.615,0.629,0.637,0.653,0.668,0.684,0.696,0.716,0.727,0.749,0.756,0.754,0.785,0.793,0.792,0.815,0.821,0.835,0.845,0.867,0.871,
B,12,Sample X24,0.029,0.029,0.028,0.029,0.027,0.027,0.028,0.027,0.026,0.027,0.027,0.028,0.025,0.029,0.032,0.027,0.028,0.028,0.028,0.027,0.028,0.028,0.028,0.028,0.027,0.028,0.026,0.025,0.027,0.029,0.028,0.029,0.028,0.029,0.027,0.029,0.027,0.027,0.027,0.025,0.028,0.029,0.027,0.028,0.026,0.028,0.028,0.027,0.026,0.027,0.031,0.026,0.03,0.03,0.027,
C,1,Sample X25,0.03,0.029,0.029,0.03,0.026,0.027,0.029,0.025,0.027,0.028,0.029,0.028,0.027,0.027,0.024,0.026,0.027,0.029,0.028,0.026,0.027,0.029,0.026,0.027,0.029,0.028,0.026,0.025,0.028,0.028,0.028,0.027,0.028,0.028,0.027,0.027,0.027,0.025,0.027,0.026,0.03,0.027,0.026,0.029,0.025,0.027,0.03,0.031,0.025,0.029,0.028,0.026,0.028,0.03,0.029,
C,2,Sample X26,0.042,0.038,0.042,0.051,0.073,0.106,0.149,0.171,0.211,0.245,0.278,0.312,0.33,0.351,0.357,0.366,0.38,0.406,0.41,0.429,0.43,0.449,0.456,0.471,0.493,0.497,0.522,0.517,0.534,0.565,0.565,0.571,0.585,0.596,0.619,0.625,0.625,0.64,0.674,0.668,0.689,0.694,0.708,0.72,0.729,0.744,0.75,0.761,0.774,0.788,0.793,0.798,0.809,0.829,0.827,
C,3,Sample X27,0.048,0.043,0.053,0.067,0.102,0.13,0.149,0.202,0.242,0.286,0.319,0.345,0.367,0.382,0.385,0.402,0.417,0.443,0.454,0.475,0.49,0.523,0.535,0.55,0.574,0.598,0.633,0.648,0.681,0.726,0.731,0.764,0.786,0.817,0.839,0.872,0.89,0.917,0.967,0.974,1.006,1.019,1.031,1.056,1.065,1.083,1.083,1.097,1.1,1.119,1.116,1.116,1.124,1.137,1.123,
C,4,Sample X28,0.066,0.064,0.082,0.114,0.149,0.181,0.221,0.262,0.298,0.337,0.365,0.391,0.405,0.422,0.426,0.444,0.468,0.491,0.505,0.511,0.541,0.564,0.578,0.597,0.621,0.64,0.676,0.684,0.713,0.751,0.761,0.784,0.81,0.833,0.857,0.882,0.905,0.924,0.957,0.968,0.991,1.003,1.015,1.028,1.042,1.052,1.064,1.072,1.073,1.086,1.082,1.09,1.088,1.096,1.087,
