Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.034,0.034,0.032,0.034,0.032,0.033,0.034,0.031,0.035,0.036,0.035,0.033,0.032,0.03,0.033,0.033,0.032,0.031,0.034,0.034,0.033,0.034,0.037,0.033,0.034,0.032,0.032,0.03,0.035,0.033,0.035,0.034,0.033,0.034,0.034,0.032,0.034,0.036,0.033,0.035,0.035,0.034,0.033,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.037,0.035,0.037,0.04,
A,2,Sample X2,0.029,0.032,0.028,0.029,0.029,0.03,0.03,0.029,0.033,0.031,0.032,0.029,0.03,0.03,0.03,0.031,0.032,0.027,0.032,0.035,0.029,0.031,0.033,0.032,0.033,0.032,0.032,0.03,0.031,0.032,0.032,0.031,0.032,0.031,0.03,0.03,0.032,0.034,0.032,0.032,0.032,0.032,0.031,0.033,0.034,0.033,0.032,0.034,0.033,0.035,0.032,0.034,0.033,0.036,0.031,
A,3,Sample X3,0.033,0.033,0.029,0.03,0.028,0.03,0.03,0.028,0.031,0.032,0.031,0.033,0.029,0.027,0.028,0.03,0.031,0.025,0.029,0.029,0.028,0.03,0.032,0.03,0.031,0.029,0.03,0.026,0.029,0.03,0.031,0.031,0.032,0.029,0.03,0.029,0.028,0.03,0.03,0.029,0.031,0.029,0.03,0.031,0.03,0.031,0.031,0.033,0.031,0.037,0.037,0.04,0.041,0.04,0.035,
A,4,Sample X4,0.032,0.03,0.03,0.03,0.029,0.03,0.027,0.028,0.031,0.03,0.03,0.029,0.027,0.027,0.027,0.03,0.032,0.027,0.027,0.029,0.028,0.03,0.032,0.027,0.029,0.029,0.029,0.027,0.03,0.03,0.029,0.029,0.03,0.028,0.028,0.028,0.029,0.029,0.029,0.03,0.03,0.03,0.029,0.033,0.031,0.029,0.032,0.034,0.029,0.031,0.031,0.038,0.037,0.047,0.035,
A,5,Sample X5,0.034,0.034,0.031,0.03,0.029,0.031,0.029,0.028,0.031,0.03,0.029,0.029,0.029,0.028,0.028,0.028,0.03,0.026,0.03,0.029,0.028,0.03,0.033,0.028,0.032,0.027,0.032,0.03,0.032,0.028,0.03,0.029,0.032,0.029,0.031,0.029,0.029,0.032,0.03,0.031,0.03,0.029,0.029,0.032,0.03,0.028,0.032,0.032,0.028,0.031,0.03,0.033,0.031,0.032,0.032,
A,6,Sample X6,0.035,0.031,0.029,0.03,0.028,0.028,0.029,0.029,0.03,0.029,0.031,0.029,0.028,0.026,0.027,0.029,0.029,0.026,0.028,0.028,0.029,0.029,0.031,0.027,0.031,0.027,0.03,0.027,0.029,0.028,0.03,0.029,0.028,0.029,0.029,0.029,0.029,0.032,0.03,0.031,0.03,0.029,0.031,0.03,0.029,0.03,0.03,0.029,0.031,0.034,0.04,0.044,0.035,0.041,0.044,
A,7,Sample X7,0.028,0.029,0.027,0.03,0.029,0.028,0.03,0.029,0.03,0.03,0.029,0.029,0.028,0.028,0.028,0.031,0.03,0.027,0.031,0.03,0.029,0.031,0.034,0.032,0.033,0.03,0.03,0.026,0.031,0.029,0.03,0.032,0.03,0.03,0.029,0.03,0.03,0.031,0.029,0.032,0.031,0.029,0.03,0.031,0.035,0.034,0.035,0.036,0.032,0.036,0.033,0.033,0.031,0.035,0.033,
A,8,Sample X8,0.028,0.027,0.026,0.027,0.03,0.029,0.03,0.026,0.03,0.03,0.03,0.028,0.028,0.026,0.027,0.028,0.03,0.027,0.028,0.03,0.029,0.029,0.031,0.026,0.029,0.027,0.028,0.028,0.031,0.028,0.03,0.031,0.029,0.028,0.03,0.032,0.03,0.031,0.031,0.03,0.032,0.03,0.029,0.03,0.032,0.029,0.031,0.032,0.027,0.03,0.032,0.035,0.033,0.035,0.031,
A,9,Sample X9,0.03,0.03,0.026,0.029,0.027,0.029,0.03,0.029,0.03,0.031,0.03,0.027,0.028,0.028,0.028,0.03,0.028,0.027,0.028,0.03,0.028,0.028,0.029,0.029,0.029,0.027,0.028,0.025,0.029,0.029,0.031,0.029,0.031,0.029,0.031,0.029,0.028,0.032,0.031,0.031,0.031,0.029,0.031,0.031,0.031,0.03,0.033,0.031,0.03,0.03,0.03,0.037,0.033,0.037,0.032,
A,10,Sample X10,0.031,0.029,0.029,0.029,0.029,0.03,0.03,0.03,0.029,0.03,0.031,0.028,0.029,0.03,0.03,0.031,0.029,0.032,0.029,0.029,0.03,0.032,0.032,0.028,0.03,0.028,0.032,0.026,0.031,0.031,0.03,0.03,0.032,0.029,0.03,0.03,0.033,0.033,0.031,0.031,0.032,0.03,0.03,0.031,0.031,0.029,0.033,0.032,0.031,0.032,0.03,0.032,0.031,0.033,0.03,
A,11,Sample X11,0.034,0.032,0.029,0.032,0.03,0.03,0.034,0.031,0.031,0.034,0.032,0.032,0.032,0.03,0.032,0.032,0.033,0.031,0.03,0.033,0.03,0.032,0.033,0.031,0.032,0.033,0.032,0.031,0.033,0.032,0.033,0.033,0.034,0.032,0.035,0.032,0.034,0.033,0.031,0.034,0.033,0.032,0.033,0.031,0.034,0.034,0.034,0.034,0.032,0.035,0.034,0.038,0.036,0.035,0.035,
A,12,Sample X12,0.034,0.034,0.032,0.034,0.034,0.034,0.034,0.032,0.033,0.035,0.034,0.033,0.033,0.034,0.032,0.033,0.031,0.031,0.033,0.031,0.034,0.034,0.034,0.032,0.033,0.031,0.032,0.03,0.034,0.032,0.035,0.033,0.034,0.034,0.032,0.033,0.033,0.035,0.034,0.034,0.035,0.035,0.035,0.034,0.041,0.035,0.037,0.037,0.035,0.036,0.033,0.038,0.037,0.035,0.039,
B,1,Sample X13,0.031,0.03,0.028,0.029,0.027,0.027,0.028,0.028,0.029,0.031,0.029,0.028,0.027,0.027,0.026,0.03,0.03,0.025,0.028,0.028,0.027,0.031,0.029,0.028,0.026,0.029,0.026,0.025,0.03,0.028,0.029,0.03,0.028,0.028,0.028,0.027,0.028,0.032,0.028,0.028,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.031,0.026,0.03,0.027,0.03,0.027,0.029,0.028,
B,2,Sample X14,0.037,0.037,0.038,0.044,0.057,0.097,0.141,0.169,0.207,0.228,0.275,0.3,0.351,0.379,0.4,0.413,0.432,0.44,0.452,0.479,0.495,0.521,0.54,0.567,0.576,0.6,0.619,0.645,0.66,0.674,0.684,0.704,0.713,0.725,0.734,0.741,0.747,0.776,0.785,0.812,0.816,0.836,0.86,0.873,0.875,0.882,0.9,0.903,0.915,0.938,0.933,0.959,0.965,0.967,0.979,
B,3,Sample X15,0.041,0.039,0.041,0.049,0.061,0.081,0.109,0.145,0.191,0.219,0.256,0.26,0.294,0.318,0.341,0.353,0.355,0.35,0.358,0.362,0.375,0.39,0.394,0.408,0.414,0.418,0.436,0.451,0.467,0.483,0.498,0.513,0.527,0.536,0.543,0.561,0.538,0.572,0.582,0.598,0.613,0.623,0.634,0.639,0.656,0.647,0.655,0.665,0.663,0.679,0.679,0.7,0.699,0.711,0.706,
B,4,Sample X16,0.046,0.046,0.057,0.084,0.127,0.169,0.208,0.241,0.281,0.312,0.344,0.36,0.368,0.381,0.402,0.411,0.422,0.436,0.451,0.47,0.482,0.51,0.525,0.541,0.553,0.57,0.585,0.603,0.614,0.632,0.647,0.669,0.687,0.697,0.713,0.726,0.735,0.761,0.774,0.794,0.806,0.82,0.843,0.857,0.865,0.877,0.89,0.898,0.909,0.934,0.931,0.943,0.958,0.958,0.963,
B,5,Sample X17,0.047,0.044,0.052,0.062,0.079,0.098,0.123,0.151,0.181,0.214,0.26,0.3,0.328,0.338,0.387,0.406,0.408,0.406,0.411,0.426,0.433,0.446,0.454,0.461,0.482,0.496,0.508,0.526,0.54,0.566,0.57,0.583,0.596,0.601,0.61,0.621,0.622,0.637,0.66,0.667,0.682,0.688,0.704,0.711,0.718,0.732,0.733,0.742,0.745,0.759,0.765,0.778,0.775,0.787,0.793,
