Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.028,0.028,0.027,0.028,0.028,0.03,0.029,0.032,0.03,0.028,0.029,0.031,0.031,0.029,0.027,0.03,0.029,0.033,0.03,0.03,0.03,0.029,0.031,0.032,0.031,0.03,0.032,0.031,0.031,0.031,0.031,0.031,0.028,0.029,0.032,0.031,0.031,0.031,0.03,0.032,0.03,0.031,0.03,0.031,0.031,0.034,0.031,0.031,0.032,0.03,0.034,0.035,0.032,0.032,0.031,
A,2,Sample X2,0.029,0.028,0.025,0.028,0.029,0.028,0.028,0.029,0.03,0.029,0.029,0.031,0.031,0.028,0.027,0.03,0.027,0.031,0.03,0.031,0.027,0.031,0.03,0.03,0.03,0.032,0.031,0.031,0.031,0.03,0.029,0.032,0.029,0.029,0.031,0.03,0.029,0.032,0.031,0.031,0.031,0.031,0.03,0.032,0.03,0.034,0.03,0.031,0.031,0.03,0.034,0.033,0.031,0.031,0.029,
A,3,Sample X3,0.032,0.031,0.028,0.028,0.03,0.029,0.027,0.03,0.032,0.029,0.03,0.03,0.029,0.03,0.027,0.027,0.028,0.035,0.03,0.031,0.027,0.029,0.03,0.032,0.03,0.031,0.032,0.03,0.031,0.031,0.03,0.033,0.031,0.029,0.031,0.033,0.03,0.029,0.032,0.033,0.029,0.031,0.031,0.033,0.029,0.034,0.031,0.032,0.032,0.032,0.033,0.032,0.032,0.031,0.031,
A,4,Sample X4,0.03,0.031,0.03,0.03,0.03,0.031,0.029,0.031,0.03,0.029,0.029,0.031,0.031,0.029,0.029,0.028,0.026,0.033,0.032,0.029,0.029,0.03,0.031,0.031,0.031,0.03,0.031,0.03,0.032,0.033,0.033,0.032,0.031,0.029,0.03,0.029,0.031,0.031,0.032,0.032,0.029,0.03,0.031,0.033,0.03,0.032,0.031,0.029,0.031,0.031,0.032,0.034,0.032,0.032,0.033,
A,5,Sample X5,0.031,0.034,0.032,0.034,0.032,0.03,0.028,0.03,0.031,0.031,0.03,0.029,0.031,0.028,0.027,0.028,0.026,0.034,0.032,0.027,0.028,0.03,0.032,0.03,0.031,0.03,0.029,0.033,0.031,0.03,0.03,0.031,0.029,0.029,0.031,0.031,0.03,0.032,0.033,0.033,0.027,0.029,0.029,0.032,0.032,0.033,0.029,0.03,0.03,0.031,0.034,0.032,0.03,0.032,0.03,
A,6,Sample X6,0.028,0.028,0.026,0.028,0.028,0.028,0.026,0.029,0.028,0.028,0.027,0.029,0.028,0.028,0.027,0.026,0.027,0.031,0.03,0.033,0.028,0.03,0.028,0.031,0.031,0.029,0.029,0.029,0.029,0.03,0.031,0.033,0.026,0.029,0.03,0.03,0.03,0.03,0.03,0.03,0.029,0.028,0.029,0.03,0.03,0.032,0.031,0.031,0.031,0.031,0.037,0.034,0.034,0.034,0.031,
A,7,Sample X7,0.028,0.028,0.026,0.028,0.026,0.029,0.028,0.032,0.028,0.029,0.028,0.029,0.03,0.029,0.027,0.031,0.025,0.032,0.029,0.032,0.031,0.029,0.031,0.03,0.031,0.031,0.029,0.033,0.03,0.03,0.031,0.031,0.03,0.029,0.032,0.03,0.032,0.032,0.032,0.031,0.028,0.031,0.033,0.033,0.03,0.034,0.03,0.031,0.034,0.029,0.035,0.033,0.032,0.032,0.03,
A,8,Sample X8,0.028,0.031,0.027,0.029,0.031,0.029,0.029,0.032,0.029,0.029,0.028,0.029,0.03,0.03,0.026,0.027,0.026,0.032,0.031,0.03,0.03,0.03,0.029,0.028,0.032,0.032,0.03,0.03,0.031,0.031,0.03,0.03,0.029,0.029,0.031,0.031,0.029,0.033,0.031,0.032,0.029,0.031,0.031,0.031,0.033,0.032,0.032,0.029,0.032,0.032,0.033,0.033,0.034,0.032,0.032,
A,9,Sample X9,0.028,0.03,0.028,0.03,0.029,0.031,0.03,0.029,0.032,0.026,0.028,0.03,0.031,0.029,0.026,0.028,0.028,0.032,0.03,0.03,0.027,0.029,0.03,0.029,0.03,0.029,0.03,0.032,0.029,0.03,0.031,0.031,0.028,0.029,0.031,0.03,0.029,0.033,0.03,0.03,0.029,0.031,0.031,0.033,0.032,0.033,0.032,0.029,0.032,0.031,0.032,0.031,0.032,0.032,0.032,
A,10,Sample X10,0.029,0.031,0.028,0.028,0.026,0.03,0.027,0.031,0.029,0.028,0.029,0.027,0.029,0.027,0.026,0.029,0.027,0.031,0.03,0.03,0.026,0.029,0.028,0.029,0.029,0.029,0.03,0.029,0.03,0.03,0.03,0.03,0.029,0.03,0.03,0.028,0.03,0.03,0.03,0.029,0.028,0.029,0.03,0.033,0.031,0.03,0.031,0.029,0.031,0.027,0.031,0.03,0.033,0.03,0.03,
A,11,Sample X11,0.03,0.032,0.031,0.031,0.027,0.029,0.03,0.029,0.029,0.029,0.026,0.029,0.031,0.028,0.027,0.029,0.026,0.029,0.029,0.031,0.027,0.028,0.029,0.03,0.029,0.03,0.029,0.028,0.028,0.03,0.031,0.031,0.029,0.028,0.03,0.029,0.029,0.032,0.031,0.03,0.029,0.031,0.029,0.031,0.03,0.033,0.029,0.028,0.028,0.03,0.031,0.033,0.03,0.03,0.032,
A,12,Sample X12,0.031,0.031,0.029,0.032,0.03,0.029,0.029,0.031,0.029,0.032,0.03,0.028,0.029,0.027,0.026,0.028,0.027,0.032,0.03,0.029,0.027,0.029,0.03,0.031,0.03,0.03,0.028,0.03,0.03,0.03,0.032,0.033,0.029,0.029,0.03,0.029,0.029,0.029,0.03,0.03,0.029,0.03,0.03,0.031,0.031,0.033,0.032,0.032,0.032,0.03,0.032,0.035,0.035,0.036,0.032,
B,1,Sample X13,0.03,0.03,0.029,0.029,0.029,0.029,0.029,0.031,0.029,0.029,0.028,0.031,0.03,0.03,0.027,0.028,0.025,0.03,0.027,0.028,0.027,0.029,0.028,0.028,0.028,0.029,0.031,0.029,0.028,0.031,0.03,0.031,0.028,0.029,0.03,0.027,0.029,0.029,0.028,0.031,0.028,0.028,0.028,0.029,0.029,0.031,0.03,0.026,0.032,0.03,0.03,0.034,0.029,0.031,0.029,
B,2,Sample X14,0.043,0.044,0.051,0.075,0.12,0.15,0.181,0.225,0.257,0.286,0.328,0.362,0.364,0.366,0.386,0.397,0.418,0.44,0.465,0.478,0.505,0.511,0.539,0.568,0.584,0.593,0.622,0.642,0.652,0.662,0.686,0.7,0.71,0.719,0.735,0.735,0.737,0.766,0.779,0.797,0.813,0.818,0.837,0.867,0.863,0.87,0.881,0.888,0.901,0.903,0.907,0.924,0.93,0.944,0.94,
